,emotions,id,categories,objects,Sad,Fear,Angry,Happy,Neutral,Surprise,categories_list,object_list,people,faces
0,"['Happy', 'Angry', 'Angry', 'Fear']",n1WpP7iowLc,"[['beaker', 0.5920402], ['syringe', 0.14294304], ['picket fence', 0.038862914], ['candle', 0.013411075], ['lab coat', 0.008612819]]","[['bench', 0.14544005692005157], ['bed', 0.10046954452991486], ['person', 0.08563746511936188], ['person', 0.037499867379665375], ['person', 0.021908054128289223], ['person', 0.02072257362306118], ['person', 0.019437244161963463], ['person', 0.015811847522854805], ['bicycle', 0.01503889448940754], ['person', 0.014866822399199009], ['person', 0.013464953750371933], ['person', 0.012989607639610767], ['person', 0.012741685844957829], ['person', 0.012289651669561863], ['person', 0.012068631127476692], ['person', 0.011767386458814144], ['person', 0.011352688074111938], ['person', 0.01102872658520937], ['person', 0.010952234268188477], ['couch', 0.010884733870625496], ['person', 0.010578161105513573], ['person', 0.010196427814662457]]",0,1,2,1,0,0,"['beaker', 'syringe', 'picket fence', 'candle', 'lab coat']","['bench', 'bed', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'couch', 'person', 'person']",18,4.0
1,"['Neutral', 'Angry', 'Angry', 'Angry', 'Sad', 'Happy', 'Fear', 'Sad', 'Sad', 'Sad', 'Sad', 'Sad']",PUTEiSjKwJU,"[['torch', 0.7650733], ['television', 0.06369838], ['monitor', 0.06013152], ['scoreboard', 0.015756525], ['football helmet', 0.012205605]]","[['person', 0.7715608477592468], ['person', 0.7324971556663513], ['person', 0.7264297604560852], ['person', 0.45942455530166626], ['person', 0.41739603877067566], ['person', 0.2730591595172882], ['person', 0.21711748838424683], ['person', 0.20332872867584229], ['person', 0.16833727061748505], ['person', 0.1593235582113266], ['person', 0.141224205493927], ['person', 0.11411865800619125], ['person', 0.11131327599287033], ['person', 0.10601376742124557], ['stop sign', 0.08314157277345657], ['person', 0.07268083840608597], ['person', 0.06357480585575104], ['person', 0.061233293265104294], ['person', 0.05994941666722298], ['person', 0.05227801576256752], ['person', 0.05013251677155495], ['person', 0.043194763362407684], ['handbag', 0.028164092451334], ['handbag', 0.027440344914793968], ['suitcase', 0.025912951678037643], ['handbag', 0.017477136105298996], ['person', 0.014997357502579689], ['person', 0.012705577537417412]]",6,1,3,1,1,0,"['torch', 'television', 'monitor', 'scoreboard', 'football helmet']","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'stop sign', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'handbag', 'suitcase', 'handbag', 'person', 'person']",23,12.0
2,['Happy'],AumaWl0TNBo,"[['television', 0.68068546], ['laptop', 0.03912144], ['web site', 0.03409154], ['monitor', 0.028927766], ['home theater', 0.017699586]]","[['person', 0.8106440901756287], ['tv', 0.26484599709510803], ['couch', 0.23638974130153656], ['couch', 0.035266563296318054], ['chair', 0.017777714878320694], ['book', 0.014176695607602596], ['chair', 0.012342259287834167]]",0,0,0,1,0,0,"['television', 'laptop', 'web site', 'monitor', 'home theater']","['person', 'tv', 'couch', 'couch', 'chair', 'book', 'chair']",1,1.0
3,[],2Vv-BfVoq4g,"[['comic book', 0.42464402], ['torch', 0.10740016], ['stage', 0.07067861], ['volcano', 0.06141034], ['mask', 0.052156594]]","[['person', 0.04818456992506981], ['bear', 0.02668006159365177], ['bear', 0.019733823835849762], ['dog', 0.01881159283220768], ['bear', 0.01832684688270092], ['person', 0.013201420195400715], ['dog', 0.011301613412797451]]",0,0,0,0,0,0,"['comic book', 'torch', 'stage', 'volcano', 'mask']","['person', 'bear', 'bear', 'dog', 'bear', 'person', 'dog']",2,0.0
4,[],LMCuKltaY3M,"[['carton', 0.2180124], ['book jacket', 0.19723128], ['binder', 0.07590102], ['web site', 0.04391628], ['birdhouse', 0.036198888]]","[['refrigerator', 0.05471083149313927], ['truck', 0.038889192044734955], ['book', 0.01747705787420273], ['bus', 0.012272873893380165]]",0,0,0,0,0,0,"['carton', 'book jacket', 'binder', 'web site', 'birdhouse']","['refrigerator', 'truck', 'book', 'bus']",0,0.0
5,['Neutral'],9t9u_yPEidY,"[['maillot', 0.23534375], ['television', 0.11872601], ['brassiere', 0.08820844], ['miniskirt', 0.04245988], ['monitor', 0.037790556]]","[['person', 0.4666581451892853]]",0,0,0,0,1,0,"['maillot', 'television', 'brassiere', 'miniskirt', 'monitor']",['person'],1,1.0
6,['Neutral'],ONQ-fAp5X64,"[['diaper', 0.41388223], ['swimming trunks', 0.23182958], ['horizontal bar', 0.06750662], ['parallel bars', 0.03572791], ['television', 0.014891065]]","[['person', 0.8901782035827637], ['person', 0.7146813869476318], ['sports ball', 0.7043142318725586], ['person', 0.5986190438270569], ['kite', 0.37461674213409424], ['sports ball', 0.15807723999023438], ['chair', 0.07454457879066467], ['baseball glove', 0.06467442214488983], ['chair', 0.055343929678201675], ['sports ball', 0.03664849326014519], ['car', 0.0328616201877594], ['person', 0.02278568409383297], ['teddy bear', 0.01727469637989998], ['bird', 0.015578459948301315], ['person', 0.014353116042912006], ['bench', 0.012714415788650513], ['car', 0.011920500546693802], ['remote', 0.011527348309755325], ['car', 0.011493208818137646], ['car', 0.010926571674644947], ['remote', 0.01030842587351799], ['frisbee', 0.010095867328345776], ['person', 0.010033367201685905]]",0,0,0,0,1,0,"['diaper', 'swimming trunks', 'horizontal bar', 'parallel bars', 'television']","['person', 'person', 'sports ball', 'person', 'kite', 'sports ball', 'chair', 'baseball glove', 'chair', 'sports ball', 'car', 'person', 'teddy bear', 'bird', 'person', 'bench', 'car', 'remote', 'car', 'car', 'remote', 'frisbee', 'person']",6,1.0
7,['Neutral'],Dlwf5u2BLAg,"[['barracouta', 0.33118117], ['tench', 0.22636594], ['sturgeon', 0.079990536], ['coho', 0.07097011], ['gar', 0.04019684]]","[['car', 0.9542713761329651], ['person', 0.5992893576622009], ['car', 0.5458123683929443], ['car', 0.20261581242084503], ['car', 0.15829026699066162], ['car', 0.019593695178627968], ['car', 0.01697651669383049], ['car', 0.01588999480009079], ['truck', 0.014435099437832832], ['car', 0.014393939636647701]]",0,0,0,0,1,0,"['barracouta', 'tench', 'sturgeon', 'coho', 'gar']","['car', 'person', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car']",1,1.0
8,[],NVCqz2BDfcQ,"[['television', 0.5226324], ['stage', 0.06916901], ['barbershop', 0.043264166], ['theater curtain', 0.022633092], ['spotlight', 0.021858914]]","[['person', 0.9070172905921936], ['person', 0.7797498106956482], ['person', 0.7542744874954224], ['person', 0.627659022808075], ['person', 0.5234692692756653], ['person', 0.17813876271247864], ['person', 0.07208133488893509], ['tie', 0.05935204401612282], ['potted plant', 0.03244709223508835], ['person', 0.031275250017642975], ['cell phone', 0.03025001473724842], ['person', 0.021365035325288773], ['person', 0.0195940975099802], ['person', 0.018480215221643448], ['person', 0.017123790457844734], ['cell phone', 0.01627093181014061], ['potted plant', 0.014325877651572227], ['person', 0.013974303379654884], ['person', 0.013547305017709732], ['person', 0.013397788628935814], ['person', 0.0130656398832798], ['person', 0.012017868459224701], ['tie', 0.011078912764787674], ['cell phone', 0.010520784184336662]]",0,0,0,0,0,0,"['television', 'stage', 'barbershop', 'theater curtain', 'spotlight']","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'potted plant', 'person', 'cell phone', 'person', 'person', 'person', 'person', 'cell phone', 'potted plant', 'person', 'person', 'person', 'person', 'person', 'tie', 'cell phone']",17,0.0
9,"['Neutral', 'Neutral']",MyEqfBkzESU,"[['wig', 0.20688921], ['lipstick', 0.14147699], ['face powder', 0.08759308], ['brassiere', 0.056981657], ['television', 0.046997633]]","[['person', 0.577376663684845], ['person', 0.34756290912628174]]",0,0,0,0,2,0,"['wig', 'lipstick', 'face powder', 'brassiere', 'television']","['person', 'person']",2,2.0
