,0,1
0,"['Happy', 'Angry', 'Angry', 'Fear']",n1WpP7iowLc
1,"['Neutral', 'Angry', 'Angry', 'Angry', 'Sad', 'Happy', 'Fear', 'Sad', 'Sad', 'Sad', 'Sad', 'Sad']",PUTEiSjKwJU
2,['Happy'],AumaWl0TNBo
3,[],2Vv-BfVoq4g
4,[],LMCuKltaY3M
5,['Neutral'],9t9u_yPEidY
6,['Neutral'],ONQ-fAp5X64
7,['Neutral'],Dlwf5u2BLAg
8,[],NVCqz2BDfcQ
9,"['Neutral', 'Neutral']",MyEqfBkzESU
10,[],b4vTZx_AtHk
11,['Surprise'],BsfhHKx6ajA
12,"['Happy', 'Sad']",DIU3xPdhCBI
13,['Neutral'],pz95u3UVpaM
14,['Happy'],jp9hK-jY6yY
15,"['Sad', 'Angry']",gEHCXl4J9Qo
16,['Happy'],OWvCCu2t6Ts
17,"['Happy', 'Sad', 'Fear', 'Neutral']",6p-QzY5bxJ0
18,[],fiusxyygqGk
19,['Angry'],QOksZ8VogRw
20,['Angry'],lo5ERI5nPbM
21,['Sad'],Ja_GMU7-sjs
22,"['Happy', 'Happy']",_6ViZ13mN9I
23,"['Sad', 'Neutral']",F62QpaPWXDI
24,['Happy'],g5c1bk8weaQ
25,['Happy'],3qYt_fXdaXY
26,"['Surprise', 'Happy']",Y5MqpKlKiSM
27,"['Fear', 'Sad']",xg9ebVTL9yE
28,['Neutral'],J_QGZspO4gg
29,['Sad'],cUtYh_ZUjqc
30,['Neutral'],E7ykb1geOoU
31,['Neutral'],pHE8nIB6j2U
32,[],dwkNG9qeYIY
33,"['Happy', 'Happy', 'Fear']",z7VBtM7clT4
34,[],7fm7mll2qvg
35,['Angry'],QFfEtKvXMAs
36,"['Neutral', 'Happy', 'Neutral', 'Sad', 'Angry', 'Fear']",6RyOsIseJbk
37,[],qEEtzzi1EII
38,['Fear'],rL4WkebTT_U
39,['Sad'],8l_e6bx8UG8
40,"['Happy', 'Happy']",N8U2EPiEbZo
41,[],iNsTzqwwioY
42,"['Fear', 'Neutral']",9GqL1DSQDL0
43,"['Happy', 'Sad', 'Neutral']",OGKchfcd-5w
44,['Neutral'],44NYFvhXmW8
45,"['Neutral', 'Fear']",nnrkPRApQg8
46,[],eHIY3HNNqzM
47,"['Happy', 'Neutral', 'Neutral', 'Happy']",gSW2l1z1lKw
48,['Sad'],9wg3v-01yKQ
49,"['Sad', 'Sad']",nrXlY6gzTTM
50,['Angry'],EYkEshCOhEU
51,[],q-WipZ9p0wk
52,['Happy'],510KQ_LXGww
53,"['Sad', 'Sad', 'Neutral', 'Neutral']",A8ScwhLh7uo
54,['Neutral'],ZwIuff3270M
55,['Neutral'],1cgK-BIrXes
56,"['Happy', 'Happy']",P4YJwy_T9pM
57,"['Fear', 'Neutral']",vd4zwINEcLY
58,[],CR9zYgr84QY
59,[],1KVBFtSuCm0
60,[],YInRqgNMLBc
61,['Sad'],949vJMp0v40
62,[],sECcOTO8Ij4
63,['Neutral'],sF1l7v3XY6I
64,['Happy'],wjy9Jgnjv6U
65,[],FUzs2oMEs8w
66,[],Fkwkn7vXpWI
67,['Angry'],d8RW-WSpAhQ
68,"['Happy', 'Neutral']",G1Ky9-OoWyo
69,['Neutral'],54Eae2ewc1c
70,['Sad'],PoNWU2cox9w
71,['Happy'],mwpHSMv1pI4
72,[],cpvoCLX8agc
73,['Fear'],E7q_wbbwGyU
74,['Angry'],vLVSf_yI_r8
75,['Angry'],kGOmPmILndU
76,"['Sad', 'Neutral', 'Happy', 'Sad', 'Sad', 'Angry', 'Neutral', 'Happy', 'Sad', 'Sad']",F6rBIWN8SsM
77,['Happy'],vht9VHo8r5c
78,[],IOd0HGH6xKI
79,['Happy'],sLJdBmAeB_U
80,"['Sad', 'Angry', 'Angry']",mCx26FLXWuI
81,['Neutral'],iDXlWTRyxgE
82,"['Happy', 'Angry']",z4bLKt9k5dk
83,['Happy'],GdR-iTH_f-I
84,[],axVvZrDz60k
85,['Neutral'],Wjq7x2d_s1w
86,[],aaOB-ErYq6Y
87,"['Neutral', 'Neutral']",FmYMq9EHhdE
88,"['Happy', 'Fear']",NHglTopVlKQ
89,[],TQ2uDO5CbYg
90,"['Neutral', 'Neutral']",4j-ED6tL85o
91,"['Sad', 'Sad']",r1afdZk0qcI
92,['Neutral'],n1rblnOWhmM
93,"['Happy', 'Neutral', 'Sad', 'Angry']",3iXwXYflCSI
94,"['Neutral', 'Sad']",6jV798JxoTY
95,[],qYmPNNvfawM
96,[],ozkqm2ifMw8
97,"['Neutral', 'Happy']",l9nGCJlDclQ
98,['Angry'],28_tNFnMrTk
99,[],SMBXARpIqME
100,['Sad'],0Yp9WS6cJFA
101,['Sad'],bRlXatOvsZU
102,['Neutral'],X9VlCV1ZflQ
103,[],I1uCGgc-Jag
104,[],8HON4AswPVk
105,[],4GFAZBKZVJY
106,[],au3S8F08v54
107,"['Happy', 'Fear', 'Neutral', 'Happy', 'Happy']",hIwRdDcQBEU
108,[],Jj0uBQ7j5c4
109,['Neutral'],tSjvx_c4meE
110,"['Neutral', 'Neutral']",KgBWLAKxi-c
111,"['Happy', 'Happy']",CCPX4EYrskw
112,"['Happy', 'Sad']",UWl2fVxb-Mc
113,[],iNf6VErGDLI
114,"['Fear', 'Happy', 'Happy']",JD40Q9esDws
115,['Happy'],IVRVXYCrr14
116,"['Angry', 'Fear']",ROzC9ZySGos
117,['Sad'],TUv06BScsp0
118,"['Angry', 'Neutral']",b-ufhlIlfmA
119,['Happy'],L99Bi097wak
120,[],14G7U6pTcFk
121,"['Neutral', 'Happy', 'Sad']",1eS_17CG9sk
122,"['Fear', 'Neutral', 'Happy']",kROW5iooUKE
123,['Happy'],NWdc7PyZNLA
124,['Sad'],jSJr3dXZfcg
125,[],nR3OdeqiEF8
126,"['Happy', 'Neutral']",CFMRJSPDr2k
127,['Happy'],wGxT2tg4It0
128,[],s2zlBSsumeI
129,"['Happy', 'Fear']",NLCfRHdi6Ig
130,['Neutral'],V54CEElTF_U
131,['Angry'],jDvKFN6aYsE
132,"['Happy', 'Angry', 'Neutral', 'Sad']",o3CaFMmKA7A
133,['Fear'],M_wZMgZNpaM
134,[],MjdpR-TY6QU
135,"['Happy', 'Happy', 'Happy', 'Angry', 'Angry', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Fear', 'Happy']",T8jBIVi6rrM
136,['Angry'],qc_z4a00cCQ
137,"['Happy', 'Sad']",WqMOHepSpkU
138,"['Neutral', 'Angry', 'Happy', 'Neutral', 'Happy']",BsjQqm60ZEI
139,['Neutral'],kqbJCW-jxYM
140,['Happy'],90IJanuV_0M
141,[],S0A4hBJHND4
142,['Fear'],uT3wso5Zp7k
143,[],PFDElc5sfSM
144,[],7JMV6iBlXFo
145,[],Xc4xYacTu-E
146,['Neutral'],L_u97PqWX6g
147,[],W4CB5SeBGkI
148,['Fear'],rnhlTS8RgUM
149,['Happy'],fMbuWa-OdN8
150,['Neutral'],U0yo2XqufgU
151,['Happy'],kRDb2X3gFmo
152,['Happy'],O8nZrqbHwaA
153,[],lYN26wt1lJQ
154,[],l9Rwc7-p5uA
155,['Neutral'],Hw2e2XS9Wmc
156,['Angry'],nVzA1uWTydQ
157,[],676hNIhKO2M
158,['Happy'],zN_DJ3c2N28
159,"['Happy', 'Neutral']",Plh2sfrbdlc
160,['Angry'],25ibuwW4Dm4
161,['Happy'],twjTkBN3Q9A
162,"['Neutral', 'Happy']",tpyQLIpv4Yk
163,['Happy'],cJ1zhq3yNBM
164,[],VsRot0p7ObY
165,"['Happy', 'Neutral']",j5AILysDDTI
166,"['Happy', 'Happy', 'Sad']",ZDMgHk2DjoQ
167,"['Angry', 'Happy']",bCznvAkpwWs
168,['Neutral'],om0h_r2TAmw
169,['Happy'],Q-KsToawMJE
170,"['Angry', 'Angry']",lyqww9P7qyw
171,['Happy'],MnK9_fWPT3Y
172,"['Neutral', 'Sad', 'Sad']",Tl_Qfj8780M
173,['Neutral'],7DLKv39MLbg
174,['Happy'],OXZQ5DfSAAc
175,[],kgaO45SyaO4
176,['Happy'],VsYmwBOYfW8
177,"['Happy', 'Sad', 'Happy', 'Sad', 'Sad']",A5TPOKoE1_M
178,['Happy'],gjXrm2Q-te4
179,['Sad'],mJt1O3q0zKc
180,"['Angry', 'Sad', 'Happy', 'Angry', 'Sad', 'Happy', 'Angry', 'Angry', 'Sad', 'Neutral', 'Happy', 'Sad']",8gFGhT5GpAs
181,['Happy'],ls31TkGSQGA
182,['Neutral'],acIRvVxB4go
183,['Happy'],XymR5UCxSfA
184,[],5E4ZBSInqUU
185,"['Happy', 'Angry']",aRz_XfwcVtU
186,['Happy'],RDP8Oh-br4Y
187,['Happy'],EvWPqF_AQHI
188,"['Neutral', 'Angry']",rvkm8DPbWgc
189,"['Angry', 'Angry', 'Happy', 'Happy']",aRXgvkpMZrI
190,"['Neutral', 'Angry']",j7WlcSwe8Ws
191,['Happy'],ph2RlcltYdM
192,"['Happy', 'Happy']",uXNIeQjav80
193,"['Neutral', 'Happy', 'Sad']",sAWeoDHzBgE
194,"['Happy', 'Neutral', 'Sad']",2Zvmi5BzDbs
195,['Sad'],W187SzNVGvc
196,['Neutral'],hbmdI8A7SSo
197,[],VEoOuF_cN0Q
198,[],NcVxrr_q3Hw
199,['Neutral'],bxeHBBf21UY
200,['Happy'],sottGW1p5os
201,"['Happy', 'Fear']",8hKbIhrb1WU
202,['Neutral'],jG1JY0rt2Os
203,"['Happy', 'Sad', 'Sad', 'Neutral', 'Angry']",8KT1UCsOE74
204,"['Angry', 'Happy']",jgshHi6XjJ0
205,['Sad'],vIVaLtJmyPs
206,['Sad'],eQVhAN7-IAw
207,['Neutral'],xVp2opnGrEA
208,"['Sad', 'Happy', 'Happy', 'Neutral', 'Happy', 'Sad', 'Neutral', 'Happy']",Nsw5HuVGdBI
209,"['Sad', 'Neutral']",rXbrryghxAA
210,[],8WZuk8KXC5M
211,[],FCdvOAcbK4s
212,"['Neutral', 'Sad']",ktQH78FNCfs
213,"['Neutral', 'Sad', 'Angry', 'Happy']",moLKl5PzZLc
214,"['Happy', 'Sad', 'Fear', 'Sad', 'Angry']",HNa_UWX51_s
215,"['Happy', 'Sad']",MXzEbAv0QN0
216,"['Happy', 'Neutral']",p8XP7A7kvzM
217,['Happy'],icqp_XDH_BI
218,['Fear'],Mv-CJ44KbW4
219,[],yxfZBun1uBU
220,"['Angry', 'Sad']",lJFqvRwOiis
221,['Happy'],nRafaCcfrcI
222,[],TWpt-ze_cYU
223,"['Happy', 'Sad', 'Happy']",0O2IAz1E9Ts
224,[],ixxR3ZoqnF0
225,"['Angry', 'Happy']",SCnVbXlC1Ds
226,['Neutral'],IY-M93e2lok
227,['Happy'],FHl0nIdbiLA
228,['Happy'],6epjkX1sr2M
229,['Happy'],l3xmc0pzzJI
230,['Neutral'],MMGrzOu1amQ
231,[],DhwwTxTh5To
232,[],hpapqEeb36k
233,['Sad'],ve3oQBjcAGI
234,['Happy'],pOEzjT-SED0
235,['Happy'],k1cA-Wh3Tc0
236,[],EEIP1YpFXrE
237,[],PHWAZNkqwN4
238,"['Fear', 'Sad']",5UL5wZJPLEg
239,['Happy'],_8VHAHoCUVY
240,[],mZpGOQ7tBKE
241,['Angry'],9pbCuFxRuqs
242,"['Sad', 'Sad', 'Sad']",RrhSJzM8NLE
243,"['Sad', 'Happy', 'Angry', 'Sad', 'Happy', 'Sad']",ScHb-rczYbM
244,['Sad'],UwdLlnPaRAU
245,[],i9EyFghIt5o
246,[],L9eFkmjIIWA
247,[],mjBIsBPG1N8
248,[],0gwkMY-mzUQ
249,['Sad'],IKuKZIISPE0
250,['Neutral'],uN9zBcweN4M
251,"['Neutral', 'Fear']",NNSO_4yKM0M
252,['Neutral'],Qj7DVNDb7To
253,"['Happy', 'Happy']",hXcoq5XDwyA
254,[],xzpQSINtLkw
255,[],qqs3fxfmWr4
256,['Happy'],jGiqc3HSxEg
257,['Sad'],ENr6CXm1YxU
258,[],4SANXNco_y4
259,[],7-7mW9daU5E
260,[],MKLlDnUqho4
261,['Happy'],_9wK8hVvjAU
262,[],7d9cu_dmQ0c
263,"['Sad', 'Neutral', 'Fear', 'Neutral', 'Angry', 'Fear']",CyzEtbG-sxY
264,[],nshmwFK3yd8
265,[],fRj34o4hN4I
266,['Happy'],5n9xafjynJA
267,['Sad'],coOKvrsmQiI
268,"['Happy', 'Angry']",oSS6kGWNEeA
269,"['Sad', 'Fear', 'Fear', 'Fear', 'Sad']",6uJf2IT2Zh8
270,"['Neutral', 'Neutral', 'Sad', 'Happy', 'Angry', 'Neutral', 'Sad']",eIG1Ix-3gdc
271,['Sad'],1_Nr0hrjR24
272,[],aXWfL-1ieuE
273,"['Neutral', 'Happy', 'Neutral']",aJqEx_t_9S8
274,"['Angry', 'Happy']",UuCq8mtK8J4
275,['Neutral'],HJBqbRMUOaI
276,"['Happy', 'Sad', 'Happy', 'Sad', 'Happy', 'Neutral', 'Happy', 'Happy']",nlodY8nMw-A
277,[],svZScJMh4Pg
278,['Sad'],JDDP9fY6dmI
279,['Neutral'],Mmkf4zYlW4E
280,[],0ANDjPQPS_Q
281,['Angry'],N0tmF4j4K6g
282,[],rIh1NW7afo4
283,[],zpgn8U5Ug8M
284,"['Angry', 'Neutral']",Y9PYlF43i3g
285,[],A_Z3AokMwWI
