,0,1
0,"[['bench', 0.14544005692005157], ['bed', 0.10046954452991486], ['person', 0.08563746511936188], ['person', 0.037499867379665375], ['person', 0.021908054128289223], ['person', 0.02072257362306118], ['person', 0.019437244161963463], ['person', 0.015811847522854805], ['bicycle', 0.01503889448940754], ['person', 0.014866822399199009], ['person', 0.013464953750371933], ['person', 0.012989607639610767], ['person', 0.012741685844957829], ['person', 0.012289651669561863], ['person', 0.012068631127476692], ['person', 0.011767386458814144], ['person', 0.011352688074111938], ['person', 0.01102872658520937], ['person', 0.010952234268188477], ['couch', 0.010884733870625496], ['person', 0.010578161105513573], ['person', 0.010196427814662457]]",n1WpP7iowLc
1,"[['person', 0.7715608477592468], ['person', 0.7324971556663513], ['person', 0.7264297604560852], ['person', 0.45942455530166626], ['person', 0.41739603877067566], ['person', 0.2730591595172882], ['person', 0.21711748838424683], ['person', 0.20332872867584229], ['person', 0.16833727061748505], ['person', 0.1593235582113266], ['person', 0.141224205493927], ['person', 0.11411865800619125], ['person', 0.11131327599287033], ['person', 0.10601376742124557], ['stop sign', 0.08314157277345657], ['person', 0.07268083840608597], ['person', 0.06357480585575104], ['person', 0.061233293265104294], ['person', 0.05994941666722298], ['person', 0.05227801576256752], ['person', 0.05013251677155495], ['person', 0.043194763362407684], ['handbag', 0.028164092451334], ['handbag', 0.027440344914793968], ['suitcase', 0.025912951678037643], ['handbag', 0.017477136105298996], ['person', 0.014997357502579689], ['person', 0.012705577537417412]]",PUTEiSjKwJU
2,"[['person', 0.8106440901756287], ['tv', 0.26484599709510803], ['couch', 0.23638974130153656], ['couch', 0.035266563296318054], ['chair', 0.017777714878320694], ['book', 0.014176695607602596], ['chair', 0.012342259287834167]]",AumaWl0TNBo
3,"[['person', 0.04818456992506981], ['bear', 0.02668006159365177], ['bear', 0.019733823835849762], ['dog', 0.01881159283220768], ['bear', 0.01832684688270092], ['person', 0.013201420195400715], ['dog', 0.011301613412797451]]",2Vv-BfVoq4g
4,"[['refrigerator', 0.05471083149313927], ['truck', 0.038889192044734955], ['book', 0.01747705787420273], ['bus', 0.012272873893380165]]",LMCuKltaY3M
5,"[['person', 0.4666581451892853]]",9t9u_yPEidY
6,"[['person', 0.8901782035827637], ['person', 0.7146813869476318], ['sports ball', 0.7043142318725586], ['person', 0.5986190438270569], ['kite', 0.37461674213409424], ['sports ball', 0.15807723999023438], ['chair', 0.07454457879066467], ['baseball glove', 0.06467442214488983], ['chair', 0.055343929678201675], ['sports ball', 0.03664849326014519], ['car', 0.0328616201877594], ['person', 0.02278568409383297], ['teddy bear', 0.01727469637989998], ['bird', 0.015578459948301315], ['person', 0.014353116042912006], ['bench', 0.012714415788650513], ['car', 0.011920500546693802], ['remote', 0.011527348309755325], ['car', 0.011493208818137646], ['car', 0.010926571674644947], ['remote', 0.01030842587351799], ['frisbee', 0.010095867328345776], ['person', 0.010033367201685905]]",ONQ-fAp5X64
7,"[['car', 0.9542713761329651], ['person', 0.5992893576622009], ['car', 0.5458123683929443], ['car', 0.20261581242084503], ['car', 0.15829026699066162], ['car', 0.019593695178627968], ['car', 0.01697651669383049], ['car', 0.01588999480009079], ['truck', 0.014435099437832832], ['car', 0.014393939636647701]]",Dlwf5u2BLAg
8,"[['person', 0.9070172905921936], ['person', 0.7797498106956482], ['person', 0.7542744874954224], ['person', 0.627659022808075], ['person', 0.5234692692756653], ['person', 0.17813876271247864], ['person', 0.07208133488893509], ['tie', 0.05935204401612282], ['potted plant', 0.03244709223508835], ['person', 0.031275250017642975], ['cell phone', 0.03025001473724842], ['person', 0.021365035325288773], ['person', 0.0195940975099802], ['person', 0.018480215221643448], ['person', 0.017123790457844734], ['cell phone', 0.01627093181014061], ['potted plant', 0.014325877651572227], ['person', 0.013974303379654884], ['person', 0.013547305017709732], ['person', 0.013397788628935814], ['person', 0.0130656398832798], ['person', 0.012017868459224701], ['tie', 0.011078912764787674], ['cell phone', 0.010520784184336662]]",NVCqz2BDfcQ
9,"[['person', 0.577376663684845], ['person', 0.34756290912628174]]",MyEqfBkzESU
10,"[['person', 0.6700151562690735], ['bird', 0.25144022703170776], ['dog', 0.022328784689307213], ['baseball glove', 0.017325447872281075], ['skateboard', 0.01257314532995224]]",b4vTZx_AtHk
11,"[['person', 0.939518392086029], ['tie', 0.8816050887107849], ['dog', 0.3655149042606354], ['cell phone', 0.21226365864276886], ['sandwich', 0.15930631756782532], ['person', 0.09175814688205719], ['cell phone', 0.0527900829911232], ['cake', 0.04217319190502167], ['pizza', 0.03585180640220642], ['hot dog', 0.02319975756108761], ['sheep', 0.022426802664995193], ['donut', 0.016901975497603416], ['bear', 0.010078269988298416]]",BsfhHKx6ajA
12,"[['person', 0.8055729269981384], ['person', 0.7824381589889526], ['person', 0.6688792109489441], ['person', 0.33328795433044434], ['person', 0.2086760550737381], ['person', 0.058363910764455795], ['bottle', 0.056343767791986465], ['cell phone', 0.03326044976711273], ['remote', 0.03276427090167999], ['remote', 0.03097742237150669], ['tv', 0.02862156555056572], ['tv', 0.027612758800387383], ['tie', 0.026791546493768692], ['person', 0.026242641732096672], ['bottle', 0.026069244369864464], ['tie', 0.01975821517407894], ['person', 0.019733194261789322], ['tv', 0.019100816920399666], ['bottle', 0.014286424033343792], ['tv', 0.012022629380226135], ['tie', 0.01194391492754221]]",DIU3xPdhCBI
13,"[['person', 0.6928190588951111], ['refrigerator', 0.05703357979655266], ['refrigerator', 0.047712355852127075], ['chair', 0.02100183814764023], ['chair', 0.01300323661416769], ['microwave', 0.011324756778776646], ['cell phone', 0.011317681521177292], ['cell phone', 0.0110855121165514], ['tv', 0.010329188778996468]]",pz95u3UVpaM
14,"[['person', 0.47329995036125183], ['toothbrush', 0.04542883113026619], ['remote', 0.03233219310641289], ['toothbrush', 0.030077096074819565]]",jp9hK-jY6yY
15,"[['person', 0.36655193567276], ['person', 0.16764692962169647], ['sports ball', 0.050018273293972015], ['chair', 0.02000610902905464], ['person', 0.016661902889609337], ['toothbrush', 0.0103053143247962]]",gEHCXl4J9Qo
16,"[['person', 0.46412011981010437], ['backpack', 0.08050768077373505], ['person', 0.04242212325334549], ['person', 0.01260615698993206], ['umbrella', 0.01069212518632412], ['umbrella', 0.01050262525677681]]",OWvCCu2t6Ts
17,"[['person', 0.9703150987625122], ['person', 0.9538711905479431], ['person', 0.952105700969696], ['person', 0.9278954267501831], ['person', 0.8927004337310791], ['remote', 0.05288398265838623], ['remote', 0.04726136103272438], ['potted plant', 0.047002602368593216], ['book', 0.03927844762802124], ['remote', 0.03872809559106827], ['tie', 0.033441100269556046], ['book', 0.03167589381337166], ['book', 0.02385268546640873], ['remote', 0.021651824936270714], ['remote', 0.012234510853886604], ['book', 0.01087209489196539]]",6p-QzY5bxJ0
18,"[['bird', 0.03744558244943619], ['bird', 0.02545156143605709]]",fiusxyygqGk
19,"[['car', 0.895696759223938], ['person', 0.8651039600372314], ['car', 0.6271829605102539], ['person', 0.5885549187660217], ['car', 0.4314635694026947], ['car', 0.39306649565696716], ['car', 0.09433931857347488], ['person', 0.06683192402124405], ['person', 0.059460222721099854], ['person', 0.0350334495306015], ['person', 0.029196767136454582], ['person', 0.028791531920433044], ['car', 0.026801256462931633], ['truck', 0.02671707794070244], ['truck', 0.02664092555642128], ['car', 0.02378992922604084], ['truck', 0.021022964268922806], ['car', 0.017174918204545975], ['handbag', 0.01630975864827633], ['person', 0.014410546980798244], ['person', 0.013802559114992619], ['person', 0.01373901218175888], ['backpack', 0.013168126344680786], ['car', 0.012397953309118748], ['person', 0.011693835258483887]]",QOksZ8VogRw
20,"[['person', 0.9281855225563049], ['potted plant', 0.1529289186000824], ['bottle', 0.022437671199440956], ['bottle', 0.02145838923752308], ['potted plant', 0.018932797014713287], ['potted plant', 0.015206422656774521], ['vase', 0.014659681357443333], ['bottle', 0.013975013978779316], ['handbag', 0.013844248838722706], ['person', 0.011261495761573315], ['sports ball', 0.010679589584469795]]",lo5ERI5nPbM
21,"[['laptop', 0.17399482429027557], ['person', 0.14337515830993652], ['laptop', 0.059257082641124725], ['tv', 0.05527918040752411], ['dining table', 0.015689924359321594], ['person', 0.014758508652448654]]",Ja_GMU7-sjs
