,0,1
0,"[['person', 0.9527325630187988], ['person', 0.9229521155357361], ['person', 0.545828104019165], ['tv', 0.1077679693698883], ['chair', 0.06062969192862511], ['person', 0.04186820983886719], ['book', 0.023435542359948158], ['couch', 0.021811408922076225], ['potted plant', 0.016976317390799522], ['couch', 0.015158704482018948], ['laptop', 0.014837462455034256], ['book', 0.014412950724363327], ['chair', 0.014124039560556412], ['couch', 0.013977454975247383], ['couch', 0.011905430816113949], ['person', 0.011752449907362461], ['cup', 0.010924805887043476], ['microwave', 0.010825159028172493]]",s8UglxtkAIs
1,"[['potted plant', 0.034073565155267715], ['chair', 0.02306125871837139], ['potted plant', 0.02051515318453312], ['backpack', 0.018906550481915474], ['bench', 0.018094249069690704], ['potted plant', 0.016195587813854218], ['bird', 0.013542130589485168], ['chair', 0.010406434535980225]]",Atx-0_G1KHQ
2,"[['person', 0.8430494666099548], ['cell phone', 0.05859127268195152]]",XOxB-WE3R7U
3,"[['person', 0.9416617751121521], ['person', 0.32861578464508057], ['tie', 0.28496551513671875], ['tie', 0.1672517955303192], ['tie', 0.1378427892923355], ['fire hydrant', 0.1080223098397255], ['bottle', 0.046430062502622604], ['vase', 0.043290942907333374], ['sports ball', 0.028992798179388046], ['bench', 0.02287423424422741], ['tie', 0.019136875867843628], ['tie', 0.014274836517870426]]",tCnbAAgfxH8
4,"[['person', 0.3336511552333832], ['zebra', 0.048656243830919266], ['bed', 0.028880275785923004], ['stop sign', 0.025803333148360252], ['teddy bear', 0.022620312869548798], ['fire hydrant', 0.010553544387221336]]",nn8YGPZdCvA
5,"[['toilet', 0.45882976055145264], ['bottle', 0.3887343406677246], ['sink', 0.17842450737953186], ['fire hydrant', 0.07355354726314545], ['vase', 0.059839729219675064], ['bottle', 0.04204101487994194], ['bottle', 0.03508975729346275], ['cake', 0.032335810363292694], ['cup', 0.017294175922870636], ['vase', 0.012617487460374832], ['bowl', 0.011625713668763638]]",w8UI8r9Ccwk
6,"[['person', 0.5821715593338013], ['bowl', 0.14631591737270355], ['frisbee', 0.14013834297657013], ['cake', 0.13847927749156952], ['pizza', 0.10780500620603561], ['person', 0.04191458597779274], ['banana', 0.01931113377213478], ['spoon', 0.015293760225176811], ['donut', 0.013655273243784904], ['person', 0.010052796453237534]]",O22GRZgcerA
7,"[['cake', 0.03294562175869942], ['dining table', 0.023496238514780998], ['remote', 0.020012835040688515], ['hot dog', 0.019060639664530754], ['bird', 0.01056764367967844], ['book', 0.0101995300501585]]",DW7LqkHzSwE
8,"[['person', 0.8195979595184326], ['person', 0.7907675504684448]]",hlb3gGNBHFE
9,"[['person', 0.6774380803108215], ['backpack', 0.03270019590854645], ['cell phone', 0.013282773084938526], ['backpack', 0.012082589790225029]]",d99_h30swtM
10,"[['person', 0.8443310260772705], ['person', 0.8295838236808777], ['person', 0.02768370322883129], ['car', 0.016384348273277283], ['bottle', 0.015854379162192345], ['bird', 0.014273637905716896], ['truck', 0.014167698100209236]]",rU1lSmDbRZU
11,"[['toothbrush', 0.36063411831855774], ['person', 0.26232364773750305], ['person', 0.16611993312835693], ['tie', 0.061083365231752396], ['donut', 0.04481322690844536], ['remote', 0.037956882268190384], ['donut', 0.036108821630477905], ['donut', 0.03452809527516365], ['donut', 0.027360117062926292], ['toothbrush', 0.021578017622232437], ['hot dog', 0.01707141101360321], ['remote', 0.016463113948702812], ['remote', 0.014552364125847816]]",PW-WgdZctW0
12,"[['person', 0.7420757412910461], ['stop sign', 0.020356321707367897], ['handbag', 0.013900834135711193], ['traffic light', 0.010717096738517284], ['parking meter', 0.010304531082510948]]",6tAB3YwWkxY
13,"[['person', 0.4949909448623657], ['person', 0.23680731654167175], ['cell phone', 0.10946233570575714], ['bottle', 0.04941977187991142], ['cell phone', 0.03874728083610535], ['person', 0.018366320058703423], ['handbag', 0.013301342725753784], ['wine glass', 0.0132102956995368]]",eMV_WNJkflM
14,"[['person', 0.8107907176017761], ['person', 0.7032625079154968], ['tie', 0.3306965231895447], ['tie', 0.31074491143226624], ['cell phone', 0.3065243661403656], ['tie', 0.27652209997177124], ['tv', 0.0723969116806984], ['tie', 0.061902664601802826], ['tie', 0.03818213939666748], ['vase', 0.020077243447303772], ['bottle', 0.018183717504143715], ['laptop', 0.013484876602888107], ['tie', 0.013445517979562283], ['person', 0.01241249404847622], ['person', 0.010359089821577072]]",P7WRXaxu1u4
15,"[['stop sign', 0.05800282955169678], ['umbrella', 0.023834586143493652], ['truck', 0.01723918691277504], ['person', 0.014530068263411522], ['handbag', 0.010868624784052372]]",TBCD8PVL0Io
16,"[['person', 0.8029373288154602]]",YHTnun3zpNk
17,"[['person', 0.8184061050415039], ['couch', 0.1810002475976944], ['cat', 0.17388640344142914], ['couch', 0.1643962413072586], ['couch', 0.02528304234147072], ['book', 0.024691544473171234], ['tv', 0.023011764511466026], ['chair', 0.01998862810432911], ['bottle', 0.015798641368746758], ['remote', 0.014799414202570915], ['dog', 0.011652017012238503]]",wbxblKFtGCg
18,"[['tv', 0.41013389825820923], ['person', 0.026859398931264877], ['laptop', 0.023602550849318504], ['car', 0.022898299619555473], ['car', 0.01682155951857567], ['person', 0.015532638877630234], ['truck', 0.014742342755198479], ['cell phone', 0.014329440891742706], ['person', 0.010090832598507404]]",RHzylDQ4wKE
19,"[['person', 0.6450811624526978], ['person', 0.5600863695144653], ['person', 0.32380566000938416], ['person', 0.21854540705680847], ['person', 0.21777033805847168], ['person', 0.11155566573143005], ['person', 0.10652012377977371], ['person', 0.09297099709510803], ['person', 0.09221623837947845], ['person', 0.09128838777542114], ['chair', 0.06698023527860641], ['person', 0.057236477732658386], ['person', 0.04921619966626167], ['person', 0.04866054281592369], ['person', 0.046535298228263855], ['person', 0.04329126700758934], ['person', 0.041844677180051804], ['person', 0.041230663657188416], ['person', 0.040415845811367035], ['person', 0.04034879431128502], ['person', 0.038828395307064056], ['person', 0.03537411615252495], ['person', 0.03520957753062248], ['person', 0.035014066845178604], ['person', 0.03394891694188118], ['person', 0.03303293138742447], ['person', 0.030050821602344513], ['person', 0.029740147292613983], ['person', 0.02697126753628254], ['person', 0.024446487426757812], ['giraffe', 0.02414560690522194], ['person', 0.02388608641922474], ['person', 0.021105919033288956], ['person', 0.020955421030521393], ['person', 0.020771147683262825], ['person', 0.019957495853304863], ['person', 0.019624553620815277], ['person', 0.019593756645917892], ['person', 0.018332315608859062], ['person', 0.018114710226655006], ['person', 0.0175247211009264], ['person', 0.01513724122196436], ['person', 0.014622914604842663], ['person', 0.014287986792623997], ['person', 0.013942032121121883], ['person', 0.013813630677759647], ['person', 0.01367570273578167], ['person', 0.013270352967083454], ['person', 0.012850980274379253], ['person', 0.012510880827903748], ['person', 0.011818106286227703], ['person', 0.011720864102244377], ['person', 0.011682520620524883], ['person', 0.0114100007340312], ['person', 0.010782543569803238], ['person', 0.010475734248757362], ['person', 0.01036539301276207], ['person', 0.010301738046109676], ['person', 0.01009511947631836]]",MZlakv7Gq3w
20,"[['tie', 0.8313714861869812], ['person', 0.5509645342826843]]",SwOZ0Dg_IQs
21,"[['person', 0.4349333643913269], ['sports ball', 0.28616097569465637], ['tennis racket', 0.2188403308391571], ['frisbee', 0.09635034948587418], ['sports ball', 0.06928975880146027], ['sports ball', 0.03108322061598301], ['clock', 0.02173430286347866], ['person', 0.014969578012824059], ['baseball glove', 0.013735719956457615], ['person', 0.010204330086708069]]",7FA21oJ3-hw
22,"[['clock', 0.06153678894042969], ['person', 0.026403076946735382]]",kFjq8PX6F7I
23,"[['person', 0.6561327576637268], ['sports ball', 0.08065593987703323], ['apple', 0.020062660798430443]]",6-Bf9yUay50
24,"[['refrigerator', 0.09670121222734451], ['refrigerator', 0.04125470295548439]]",NjCIH1fXT0I
25,"[['cat', 0.8870825171470642], ['bed', 0.539838433265686], ['person', 0.25758329033851624], ['chair', 0.13094408810138702], ['couch', 0.09931779652833939], ['dog', 0.060257431119680405], ['chair', 0.05432406812906265], ['chair', 0.016248036175966263]]",7HIt7pA4WqY
26,"[['person', 0.6817256808280945], ['person', 0.15963633358478546], ['person', 0.050993092358112335], ['bird', 0.02551076002418995], ['traffic light', 0.014942729845643044]]",lRkTgVynmbM
27,"[['tie', 0.9725003242492676], ['person', 0.7904645204544067], ['person', 0.5849924683570862], ['person', 0.4276692867279053], ['person', 0.41947436332702637], ['person', 0.3615039587020874], ['person', 0.22323653101921082], ['person', 0.19483475387096405], ['person', 0.09021295607089996], ['person', 0.08701116591691971], ['person', 0.05954737216234207], ['person', 0.03564795106649399], ['person', 0.0257033072412014], ['person', 0.012074627913534641], ['person', 0.011584760621190071], ['person', 0.011140868067741394]]",Lo52BObqCds
28,"[['teddy bear', 0.9422998428344727]]",425M4M3Opkk
29,"[['person', 0.6934040188789368], ['baseball bat', 0.04834754765033722], ['tennis racket', 0.04461325705051422]]",5bJ_gb19pKQ
30,"[['person', 0.8875649571418762], ['person', 0.8235759139060974], ['tennis racket', 0.0900283232331276], ['tennis racket', 0.04371984675526619], ['frisbee', 0.013534038327634335]]",NrikvhdYrJE
31,"[['person', 0.39922213554382324], ['dog', 0.3674243986606598], ['person', 0.03940284624695778], ['handbag', 0.03353433683514595], ['backpack', 0.014999547973275185], ['bird', 0.012227787636220455], ['person', 0.011886944994330406], ['backpack', 0.011805676855146885], ['handbag', 0.011215879581868649]]",fzmM0AB60QQ
32,"[['person', 0.8812242150306702], ['person', 0.8275786638259888], ['person', 0.6891077160835266], ['person', 0.4086706340312958], ['tie', 0.13899937272071838], ['person', 0.07540063560009003], ['person', 0.04297468066215515], ['person', 0.042324844747781754], ['person', 0.03198019787669182], ['person', 0.03086751326918602], ['person', 0.03040926344692707], ['baseball bat', 0.027279501780867577], ['person', 0.020602894946932793], ['person', 0.019456958398222923], ['handbag', 0.016772568225860596], ['person', 0.015330174937844276], ['truck', 0.014219980686903], ['person', 0.013479202054440975], ['person', 0.013271521776914597], ['person', 0.013242904096841812], ['baseball bat', 0.01187580730766058], ['person', 0.011215024627745152], ['car', 0.010792938061058521]]",7Jz8wZbXuDA
33,"[['person', 0.8980374932289124], ['bottle', 0.15050463378429413], ['bottle', 0.10764478892087936], ['chair', 0.03591568022966385], ['handbag', 0.022068092599511147], ['person', 0.013614270836114883], ['handbag', 0.01076025515794754]]",Vvya3yofDY4
34,"[['person', 0.4098561108112335]]",8O_MwlZ2dEg
35,"[['person', 0.7327255010604858], ['person', 0.492815762758255]]",RQm0nKoODo4
36,"[['person', 0.5629422664642334], ['person', 0.5265063643455505], ['dog', 0.24810080230236053], ['person', 0.16464227437973022], ['person', 0.0909009501338005], ['teddy bear', 0.08956334739923477], ['teddy bear', 0.02264787256717682], ['toothbrush', 0.01581735722720623], ['person', 0.01079107541590929]]",XeLIvgsYdFI
37,"[['truck', 0.6787504553794861], ['suitcase', 0.3078172206878662], ['boat', 0.0626910850405693], ['suitcase', 0.021371427923440933], ['car', 0.02054937742650509], ['airplane', 0.013211113400757313], ['cell phone', 0.012674710713326931], ['suitcase', 0.011285319924354553]]",MTf2X6EHyLQ
38,"[['person', 0.6774386167526245], ['book', 0.06286481767892838], ['book', 0.053399160504341125], ['remote', 0.024143105372786522], ['toothbrush', 0.013275089673697948], ['book', 0.011786400340497494]]",aq-phmpUJ_E
