video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes,avg_texts_coords,avg_texts_coordX,avg_texts_coordY,ocr_sentiment_compound
Jw1Y-zhQURU,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg,GB,,,,,,,,,,,,[],"[-1, -1]",-1.0,-1.0,0.0
3s1rvMFUweQ,https://i.ytimg.com/vi/3s1rvMFUweQ/default.jpg,GB,,,,,,,,,,,,[],"[-1, -1]",-1.0,-1.0,0.0
n1WpP7iowLc,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,GB,66.50282986111111,71.7437037037037,79.69963541666667,83.99249245189935,83.88391805371893,83.74813538479744,6.470819318402035," 
",,wigy water an vevo,water,"[""[[282, 116], [468, 204]]""]","[375.0, 160.0]",375.0,160.0,0.0
PUTEiSjKwJU,https://i.ytimg.com/vi/PUTEiSjKwJU/default.jpg,GB,86.53433449074075,73.28427083333334,69.15066550925926,78.3305009939191,71.67573029118333,68.93320557725383,6.839138642699877,"       

ey tderr ott

STE a CLASS OF 92
ee ae ae
ple

       
    

ian

   

 
",class,3 10 3 92 salford city class of 92 4 dudley2n dieseruvwe 23 webbers 37 400 redshaw burton 83 yorke 15 34,city class burton,"[""[[174, 262], [197, 277]]"", ""[[280, 262], [314, 277]]"", ""[[200, 293], [226, 304]]""]","[231.83333333333334, 279.1666666666667]",231.83333333333331,279.1666666666667,0.0
rHwDegptbI4,https://i.ytimg.com/vi/rHwDegptbI4/default.jpg,GB,,,,,,,,,,,,[],"[-1, -1]",-1.0,-1.0,0.0
AumaWl0TNBo,https://i.ytimg.com/vi/AumaWl0TNBo/default.jpg,GB,95.0031712962963,95.02478587962963,91.28438078703704,71.88697051131146,73.66365523171595,77.64344879187747,6.807185775919298," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
2Vv-BfVoq4g,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,GB,50.475769675925925,41.00870949074074,45.34747106481481,37.78784132817503,33.128907167545684,36.69087724965945,6.762013466437124," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
LMCuKltaY3M,https://i.ytimg.com/vi/LMCuKltaY3M/default.jpg,GB,177.6391898148148,177.11090856481482,177.46898148148148,111.66155736151386,111.89917123115615,111.66925156973308,2.6020358625157907," 
",,elbow the best of,elbow best,"[""[[204, 60], [276, 81]]"", ""[[233, 84], [254, 93]]""]","[241.75, 79.5]",241.75,79.5,0.6369
9t9u_yPEidY,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,GB,67.81295717592593,45.8618287037037,37.470625,70.93606103079323,60.64397464717017,48.553288480752656,6.237680004875408," 
",,vevo,,[],"[-1, -1]",-1.0,-1.0,0.0
ONQ-fAp5X64,https://i.ytimg.com/vi/ONQ-fAp5X64/default.jpg,GB,151.5884837962963,86.00751157407407,86.60821180555556,94.16554673262867,68.78481417556169,65.95545610990034,6.743055937806817," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
Dlwf5u2BLAg,https://i.ytimg.com/vi/Dlwf5u2BLAg/default.jpg,GB,101.37286458333334,100.2902199074074,106.62829282407408,84.31525913041655,85.64653255451742,89.21543506288377,6.500269376122432," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
NVCqz2BDfcQ,https://i.ytimg.com/vi/NVCqz2BDfcQ/default.jpg,GB,44.47424768518518,44.472766203703706,44.48017361111111,51.66630451271649,51.66552954827134,51.66969055193712,5.278926780512906," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
MyEqfBkzESU,https://i.ytimg.com/vi/MyEqfBkzESU/default.jpg,GB,112.63386574074075,87.82491319444445,75.92429976851852,99.80248362329492,79.46496220629729,72.52666299167602,6.646170931636898," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
b4vTZx_AtHk,https://i.ytimg.com/vi/b4vTZx_AtHk/default.jpg,GB,73.17465277777778,102.03508680555555,123.06442708333333,75.80196355816726,79.81702310581439,99.19012245163526,6.831936223898678," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
BsfhHKx6ajA,https://i.ytimg.com/vi/BsfhHKx6ajA/default.jpg,GB,81.25557291666667,63.3827662037037,51.260248842592596,91.5720835312916,74.8333457481657,65.79013963416841,6.557109912827632," 
",,gmm youtube originals,original,"[""[[190, 276], [261, 302]]""]","[225.5, 289.0]",225.5,289.0,0.3182
DIU3xPdhCBI,https://i.ytimg.com/vi/DIU3xPdhCBI/default.jpg,GB,85.64225694444444,64.99925925925926,61.93729166666667,84.6660490134685,71.57836606042648,68.13244524777929,6.553070525308716," 
",,sam smith althe bbc,sam smith,"[""[[331, 64], [452, 113]]"", ""[[284, 114], [454, 164]]""]","[380.25, 113.75]",380.25,113.75,0.0
pz95u3UVpaM,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg,GB,31.905949074074073,30.09359375,29.07894675925926,54.25695826488977,51.46176345444489,48.08010321622852,4.179718858997696," 
",,vevo,,[],"[-1, -1]",-1.0,-1.0,0.0
jp9hK-jY6yY,https://i.ytimg.com/vi/jp9hK-jY6yY/default.jpg,GB,135.39568287037036,121.97917824074074,115.13492476851852,97.12659913295681,89.30881190331841,85.7514053856831,6.272999545655648," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
gEHCXl4J9Qo,https://i.ytimg.com/vi/gEHCXl4J9Qo/default.jpg,GB,41.794947916666665,23.791498842592592,17.01310185185185,33.901929588161494,21.13636349419823,14.144318634623415,5.517541620665595," 
",,bbc,,[],"[-1, -1]",-1.0,-1.0,0.0
OWvCCu2t6Ts,https://i.ytimg.com/vi/OWvCCu2t6Ts/default.jpg,GB,92.23380787037037,78.32529513888889,82.12171875,87.69104684805015,74.75893503189668,81.35466680348664,6.650701735511231," 
",,pregnants weeks 32 louise priland,week,"[""[[40, 110], [110, 138]]""]","[75.0, 124.0]",75.0,124.0,0.0
6p-QzY5bxJ0,https://i.ytimg.com/vi/6p-QzY5bxJ0/default.jpg,GB,54.41741898148148,54.59087384259259,42.59484375,58.768174177178054,52.46086278257237,44.470048285125436,6.392166458486985," 
",,it the reshow james corden,,[],"[-1, -1]",-1.0,-1.0,0.0
fiusxyygqGk,https://i.ytimg.com/vi/fiusxyygqGk/default.jpg,GB,123.60376157407407,132.40182291666667,122.3590625,101.68640375223916,99.53598794390608,94.48518180686436,6.464238169819551," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
QOksZ8VogRw,https://i.ytimg.com/vi/QOksZ8VogRw/default.jpg,GB,51.95646990740741,50.03097800925926,45.05858796296296,65.94769139971825,62.84591115159721,55.61223234944956,5.228287700488843,"ee
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
lo5ERI5nPbM,https://i.ytimg.com/vi/lo5ERI5nPbM/default.jpg,GB,22.735914351851854,33.02342592592593,20.908680555555556,40.10474095657603,38.85001721750753,32.20054050646761,5.028637256606123," 
",,state,state,"[""[[385, 86], [460, 184]]""]","[422.5, 135.0]",422.5,135.0,0.0
Ja_GMU7-sjs,https://i.ytimg.com/vi/Ja_GMU7-sjs/default.jpg,GB,116.27921296296296,110.69410879629629,106.99977430555556,85.2315053568282,81.82967147845872,83.5749478938102,6.7794541883108765," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
_6ViZ13mN9I,https://i.ytimg.com/vi/_6ViZ13mN9I/default.jpg,GB,79.09131944444445,69.06711226851851,60.7650462962963,82.71532740435833,78.34695724832346,69.10728420090612,6.6871776661796485," 
",,hollywood the beatdown,,[],"[-1, -1]",-1.0,-1.0,0.0
F62QpaPWXDI,https://i.ytimg.com/vi/F62QpaPWXDI/default.jpg,GB,101.25751157407407,83.28854166666666,78.60179976851852,85.42351257284572,71.48645718477731,66.41250131752413,6.814133678977468," 
",,e321 ruok,,[],"[-1, -1]",-1.0,-1.0,0.0
g5c1bk8weaQ,https://i.ytimg.com/vi/g5c1bk8weaQ/default.jpg,GB,122.05248842592593,105.30438657407407,94.04720486111111,84.99163050879099,75.89725182720977,71.89273919381844,6.652875099713231," 
",,to loi,,[],"[-1, -1]",-1.0,-1.0,0.0
3qYt_fXdaXY,https://i.ytimg.com/vi/3qYt_fXdaXY/default.jpg,GB,86.14268518518519,54.59223958333333,43.519444444444446,51.59566009790619,43.88337973905795,38.780749050453224,7.071616325693761," 
",,,,[],"[-1, -1]",-1.0,-1.0,0.0
