video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
-5WBCrazSfg,2 2 2 2 2 dream side 5 a,dream side,"[""[[33, 266], [217, 309]]"", ""[[333, 266], [446, 309]]""]"
0-VAnh7r-_8,destinyt2 forsaken 3if,forsaken,"[""[[9, 73], [173, 93]]""]"
09lz1fRBBsY,inoutheality lil peep drangs,peep,"[""[[217, 213], [394, 286]]""]"
0ANDjPQPS_Q,thank you ponelocks youlobe,thank,"[""[[1, 134], [163, 200]]""]"
0AUFyFEt35g,smtown official,official,"[""[[108, 268], [193, 285]]""]"
0DpCDxoj_Xg,christmas carpool,,[]
0GQmGOju6CE,meet ghost my,meet ghost,"[""[[21, 253], [108, 300]]"", ""[[165, 253], [265, 301]]""]"
0JcNT6jYGwI,worst best of the episode 65 houg plinketto,bad best episode,"[""[[272, 52], [468, 104]]"", ""[[13, 53], [197, 103]]"", ""[[13, 104], [105, 130]]""]"
0NS51Iph2Ms,fox news channel,fox news channel,"[""[[40, 230], [101, 258]]"", ""[[25, 258], [102, 284]]"", ""[[17, 290], [102, 301]]""]"
0NWKUHl6JLY,nindies 2018 showcase spring switter nintendo,showcase spring,"[""[[201, 161], [312, 181]]"", ""[[314, 161], [386, 185]]""]"
0O2IAz1E9Ts,jai 22 a man was mikidaboun vanity fair,man vanity fair,"[""[[42, 205], [72, 210]]"", ""[[12, 265], [120, 306]]"", ""[[122, 266], [189, 305]]""]"
0PW9MWDWLH8,whisper challenge wl my mom,whisper challenge,"[""[[27, 188], [180, 233]]"", ""[[3, 225], [199, 271]]""]"
0RxhuBwCwMs,jimmy ximinate livei,jimmy,"[""[[40, 206], [105, 230]]""]"
0SLu6i6Rm2g,hollywood the beatdown,,[]
0URpDxIjZrQ,christopher robin official trailer,robin official trailer,"[""[[38, 86], [102, 112]]"", ""[[104, 268], [241, 302]]"", ""[[250, 269], [377, 302]]""]"
0VQysq26ozE,ode trailer launch,ode trailer launch,"[""[[21, 58], [125, 108]]"", ""[[189, 264], [350, 302]]"", ""[[13, 265], [184, 305]]""]"
0XR-FwfdOos,and,,[]
0XuOkYlUWIs,reasons why 13 official trailer,reason official trailer,"[""[[62, 60], [220, 85]]"", ""[[31, 223], [253, 265]]"", ""[[32, 264], [234, 304]]""]"
0Yp9WS6cJFA,downhill biking,downhill,"[""[[8, 74], [269, 112]]""]"
0aan7Vtcco0,wrestle mania,wrestle mania,"[""[[13, 261], [81, 285]]"", ""[[80, 264], [122, 284]]""]"
0enOVnTDmqA,mutel y od the ateshow james corden,,[]
0fOZ4Nwm5Pg,lailahlynncon,,[]
0gLsukihjVg,guardlang tar,tar,"[""[[228, 285], [272, 306]]""]"
0hcp-eMOn4E,crowd a in of thous ands,crowd,"[""[[242, 132], [366, 190]]""]"
0lXX3dJUAGY,are intelligent people lonelyz more,intelligent people,"[""[[5, 116], [294, 177]]"", ""[[8, 182], [180, 242]]""]"
0ldBURP-cWo,ajaidheliab adaidhellar you poormation,,[]
0nybdPCuvRI,cavs 70 93 heat cavaliers 3rd of 1159 23,heat cavalier,"[""[[97, 277], [118, 285]]"", ""[[202, 277], [244, 285]]""]"
0uJUW24505E,18,,[]
11K013qpRR4,filmselect hd trailer,trailer,"[""[[6, 281], [144, 306]]""]"
12B8DNBoYRA,undement make look good it sunch mand reartid one un comply you the pg versionism theraton reversion dichtmean 10 taken shart in happoned but sht my he then yourel way better in on offmy who that,make look good mand one comply reversion take way well,"[""[[185, 173], [205, 178]]"", ""[[209, 173], [226, 178]]"", ""[[226, 173], [242, 178]]"", ""[[205, 180], [222, 185]]"", ""[[224, 181], [242, 185]]"", ""[[274, 204], [288, 210]]"", ""[[185, 232], [213, 238]]"", ""[[261, 233], [282, 238]]"", ""[[194, 250], [206, 256]]"", ""[[206, 250], [226, 256]]""]"
14G7Qw5DC9M,regand,,[]
14G7U6pTcFk,z projec,,[]
15aTCG3as6Q,its omg me s s,,[]
18RqtFuaNe8,trailer hd,trailer,"[""[[30, 198], [205, 233]]""]"
18thGW1YjRM,utv,,[]
1Aoc-cd9eYs,youtube originals 2 cobra kat,original cobra kat,"[""[[77, 56], [152, 85]]"", ""[[12, 261], [163, 307]]"", ""[[174, 262], [265, 305]]""]"
1HcoMNJUiM0,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
1KVBFtSuCm0,movo on,,[]
