video_id,word_id,ocr_text,bbox
-1Hm41N0dUs,0,see,"[[192, 144], [221, 162]]"
-1Hm41N0dUs,1,14,"[[220, 148], [242, 165]]"
-1Hm41N0dUs,2,win,"[[249, 149], [291, 168]]"
-1Hm41N0dUs,3,jimmy,"[[41, 206], [105, 230]]"
-1Hm41N0dUs,4,scommel,"[[11, 207], [179, 304]]"
-1Hm41N0dUs,5,livei,"[[109, 270], [166, 289]]"
-1yT-K3c6YI,0,truth,"[[156, 186], [285, 225]]"
-1yT-K3c6YI,1,or,"[[188, 228], [253, 265]]"
-1yT-K3c6YI,2,dare,"[[166, 266], [284, 305]]"
-2aVkGcI7ZA,0,1,"[[1, 224], [89, 313]]"
-2b4qSoMnKE,0,cnn,"[[13, 224], [180, 303]]"
-2RVw2_QyxQ,0,chawdows,"[[249, 221], [438, 280]]"
-2RVw2_QyxQ,1,chess,"[[115, 221], [155, 246]]"
-2RVw2_QyxQ,2,club,"[[150, 222], [184, 246]]"
-2RVw2_QyxQ,3,cosco,"[[129, 236], [172, 262]]"
-2RVw2_QyxQ,4,andischolatic,"[[116, 254], [163, 275]]"
-2RVw2_QyxQ,5,conter,"[[160, 254], [185, 271]]"
-2wRFv-mScQ,0,10,"[[114, 124], [165, 194]]"
-2wRFv-mScQ,1,top,"[[24, 124], [113, 196]]"
-2wRFv-mScQ,2,moments,"[[232, 209], [362, 257]]"
-2wRFv-mScQ,3,celebrity,"[[21, 210], [158, 257]]"
-2wRFv-mScQ,4,game,"[[160, 210], [233, 256]]"
-35jibKqbEo,0,skies,"[[356, 158], [384, 168]]"
-35jibKqbEo,1,casties,"[[206, 160], [242, 168]]"
-35jibKqbEo,2,glitter,"[[245, 160], [282, 170]]"
-35jibKqbEo,3,under,"[[286, 160], [313, 169]]"
-35jibKqbEo,4,spanish,"[[316, 160], [353, 169]]"
-37nIo_tLnk,0,wallace,"[[182, 260], [242, 274]]"
-37nIo_tLnk,1,rasheed,"[[124, 261], [182, 274]]"
-37nIo_tLnk,2,decemb,"[[180, 276], [208, 285]]"
