video_id,word_id,ocr_text,bbox
-5WBCrazSfg,0,2,"[[94, 74], [116, 108]]"
-5WBCrazSfg,1,2,"[[94, 112], [116, 137]]"
-5WBCrazSfg,2,2,"[[56, 160], [82, 190]]"
-5WBCrazSfg,3,2,"[[128, 162], [148, 192]]"
-5WBCrazSfg,4,2,"[[89, 198], [113, 229]]"
-5WBCrazSfg,5,dream,"[[33, 266], [217, 309]]"
-5WBCrazSfg,6,side,"[[333, 266], [446, 309]]"
-5WBCrazSfg,7,5,"[[238, 269], [266, 306]]"
-5WBCrazSfg,8,a,"[[282, 269], [314, 308]]"
0-VAnh7r-_8,0,destinyt2,"[[29, 54], [154, 68]]"
0-VAnh7r-_8,1,forsaken,"[[9, 73], [173, 93]]"
0-VAnh7r-_8,2,3if,"[[81, 98], [102, 114]]"
09lz1fRBBsY,0,inoutheality,"[[372, 85], [460, 138]]"
09lz1fRBBsY,1,lil,"[[86, 192], [198, 270]]"
09lz1fRBBsY,2,peep,"[[217, 213], [394, 286]]"
09lz1fRBBsY,3,drangs,"[[314, 262], [354, 282]]"
0aan7Vtcco0,0,wrestle,"[[13, 261], [81, 285]]"
0aan7Vtcco0,1,mania,"[[80, 264], [122, 284]]"
0ANDjPQPS_Q,0,thank,"[[1, 134], [163, 200]]"
0ANDjPQPS_Q,1,you,"[[159, 129], [278, 187]]"
0ANDjPQPS_Q,2,ponelocks,"[[327, 208], [361, 226]]"
0ANDjPQPS_Q,3,youlobe,"[[327, 234], [358, 254]]"
0AUFyFEt35g,0,smtown,"[[109, 246], [189, 262]]"
0AUFyFEt35g,1,official,"[[108, 268], [193, 285]]"
0DpCDxoj_Xg,0,christmas,"[[16, 253], [265, 308]]"
0DpCDxoj_Xg,1,carpool,"[[274, 253], [477, 305]]"
0enOVnTDmqA,0,mutel,"[[24, 42], [152, 68]]"
0enOVnTDmqA,1,y,"[[392, 60], [405, 78]]"
0enOVnTDmqA,2,od,"[[380, 81], [408, 98]]"
0enOVnTDmqA,3,the,"[[26, 245], [72, 257]]"
0enOVnTDmqA,4,ateshow,"[[24, 258], [76, 273]]"
0enOVnTDmqA,5,james,"[[36, 270], [74, 282]]"
0enOVnTDmqA,6,corden,"[[25, 282], [76, 294]]"
0fOZ4Nwm5Pg,0,lailahlynncon,"[[18, 294], [97, 302]]"
0gLsukihjVg,0,guardlang,"[[201, 246], [335, 310]]"
0gLsukihjVg,1,tar,"[[228, 285], [272, 306]]"
0GQmGOju6CE,0,meet,"[[21, 253], [108, 300]]"
0GQmGOju6CE,1,ghost,"[[165, 253], [265, 301]]"
