video_id,category_id
Fkwkn7vXpWI,24.0
Plh2sfrbdlc,24.0
7DLKv39MLbg,22.0
OXZQ5DfSAAc,1.0
xq9FgX_mXiE,24.0
aRz_XfwcVtU,10.0
E7ykb1geOoU,25.0
nrXlY6gzTTM,1.0
P4YJwy_T9pM,22.0
ZwIuff3270M,26.0
CR9zYgr84QY,26.0
IOd0HGH6xKI,10.0
54Eae2ewc1c,10.0
hX643KbiI4s,24.0
qYmPNNvfawM,20.0
o3CaFMmKA7A,23.0
7JMV6iBlXFo,10.0
zN_DJ3c2N28,22.0
PUTEiSjKwJU,17.0
3s1rvMFUweQ,24.0
2Zvmi5BzDbs,10.0
gEHCXl4J9Qo,24.0
xg9ebVTL9yE,10.0
510KQ_LXGww,26.0
rwYd2kIZxk4,25.0
KSbHlycTciM,22.0
NLCfRHdi6Ig,17.0
fMbuWa-OdN8,17.0
6epjkX1sr2M,26.0
k1cA-Wh3Tc0,28.0
EEIP1YpFXrE,20.0
mjBIsBPG1N8,22.0
Mn-3c6of8t8,24.0
NVCqz2BDfcQ,10.0
lo5ERI5nPbM,10.0
RYs08kX3Ih4,26.0
6jV798JxoTY,22.0
nshmwFK3yd8,24.0
fRj34o4hN4I,28.0
icqp_XDH_BI,26.0
nRafaCcfrcI,24.0
8KT1UCsOE74,24.0
nlodY8nMw-A,23.0
JDDP9fY6dmI,25.0
aRXgvkpMZrI,22.0
9t9u_yPEidY,10.0
hbmdI8A7SSo,23.0
d8RW-WSpAhQ,22.0
_wM_jY_rass,25.0
vLVSf_yI_r8,24.0
1_Nr0hrjR24,28.0
jG1JY0rt2Os,10.0
A5TPOKoE1_M,22.0
bxeHBBf21UY,17.0
z4bLKt9k5dk,24.0
MMGrzOu1amQ,24.0
_8VHAHoCUVY,20.0
rL4WkebTT_U,24.0
mwpHSMv1pI4,23.0
ixxR3ZoqnF0,10.0
hXcoq5XDwyA,20.0
ONQ-fAp5X64,17.0
LMCuKltaY3M,10.0
A8ScwhLh7uo,1.0
q-WipZ9p0wk,26.0
EBt_88nxG4c,10.0
nVTNrp1RuEI,24.0
L9eFkmjIIWA,27.0
4zD4HPlc-BE,26.0
Qj7DVNDb7To,23.0
jp9hK-jY6yY,23.0
6RyOsIseJbk,22.0
V3EYjVPRClU,10.0
PCVtE3wRNPg,24.0
cm1_NPyNRvw,24.0
S-iiG3-4FJ8,26.0
qN1_nEdly7I,24.0
aJqEx_t_9S8,24.0
svZScJMh4Pg,10.0
O3eO646jjzQ,24.0
eQVhAN7-IAw,10.0
xzpQSINtLkw,10.0
CzmIrPvIzxk,1.0
tz23WFb8HM0,10.0
aKPz583WRpQ,24.0
Ssvv40iz-Ls,26.0
N0tmF4j4K6g,15.0
gKo7V7nxvqE,24.0
pHE8nIB6j2U,10.0
Up09AUDzLVI,28.0
X5DWRXTOUD0,26.0
QlnMYbtEy2A,22.0
hq9SEUlkZ5s,26.0
lMSHTnkVJVs,10.0
5E4ZBSInqUU,10.0
0ANDjPQPS_Q,26.0
rvkm8DPbWgc,23.0
rIh1NW7afo4,17.0
3GtSorFUQhc,22.0
Z1rZAT2GtmI,23.0
qu-biRtYEcU,10.0
