video_id,category_id
kgaO45SyaO4,28.0
9XSULcLI6Hg,25.0
wnwF1FHybDQ,23.0
X7flefV8tec,24.0
fIQ2Ty2OL34,17.0
ItYOdWRo0JY,28.0
VsYmwBOYfW8,23.0
7oRdswHqaf8,26.0
qC0I5PEhkJo,17.0
kWIzjMWmuYk,23.0
eAyxMv4IBH8,23.0
KODzih-pYlU,22.0
xfmipNU4Odc,15.0
1Wk8ZRgXQnY,10.0
lsfzA7sWlOM,20.0
RrhSJzM8NLE,10.0
0gwkMY-mzUQ,24.0
KJ12FVmumeA,17.0
5qpjK5DgCt4,23.0
DM-ni_LSOFE,24.0
G8gJ4RTBxcg,28.0
QFfEtKvXMAs,10.0
dUMH6DVYskc,28.0
jG1JY0rt2Os,10.0
UwdLlnPaRAU,17.0
9pbCuFxRuqs,28.0
9SK1I0V6U5c,23.0
Jidk0O6uu-0,22.0
lZ68j2J_GOM,23.0
nc99ccSXST0,28.0
oTObwUiXdYY,25.0
fGTfbMioezc,1.0
ixxR3ZoqnF0,10.0
CziCidR4KcY,10.0
szs2GAYwMHo,24.0
cmoknv58jjE,22.0
Y2-JjnW3w2g,24.0
NfLVVJOuY5M,17.0
GgVmn66oK_A,25.0
wwZ-T_WQ03A,1.0
BQ_0QLL2gqI,10.0
Y1n8F4uClUU,2.0
i9GSF3ROa58,10.0
8-u5nd2GqNE,27.0
Nz0qoOgyWSQ,24.0
EEIP1YpFXrE,20.0
l3xmc0pzzJI,22.0
MMGrzOu1amQ,24.0
9WT7NU3Rwr0,17.0
p2EY93WfBQk,26.0
rO_mAQC9bv0,1.0
aujUl3yt6nM,22.0
DbJ2s_g1oDc,24.0
aAm6AHr14zY,17.0
5E4ZBSInqUU,10.0
MltuW2kcREI,24.0
DVAMKnfrQBk,25.0
kOCkne-Bku4,10.0
aHKzU_rXdw8,26.0
WbYqfpnw7sE,22.0
YvfYK0EEhK4,23.0
qDAxDcjgn-8,10.0
D-DYWvnrFs8,15.0
Y9nDagqKL7Q,1.0
E_86MEdNsAI,24.0
6LuHS7ZeSjE,23.0
ZkPSbp3zTfo,24.0
ai_UWoM37dI,24.0
Q1EgRiVdT5w,26.0
qS6LoRYUdhw,28.0
iASe_veKR74,10.0
t1shnJT8NCY,22.0
fEjag-a7TyU,17.0
aD5dCMBeySA,22.0
XHkAjUVoQME,22.0
41kp6qN1Crg,17.0
c9m52-psUmw,24.0
0s6-iFoCFNQ,24.0
B4mK5OElAFQ,23.0
asu37n6sEBY,10.0
coOKvrsmQiI,24.0
dcipHnWcB0w,24.0
V3EYjVPRClU,10.0
NWQqJDGo4Z4,10.0
3IaL0li-LWU,28.0
Da2crn5NXc4,26.0
GyvRamX1VyA,24.0
4L-BPQVZYXM,28.0
uU3kLBo_ruo,27.0
XcUiOyKclOI,10.0
UhZ56rcWwRQ,1.0
zOgle88sKro,27.0
R8hccXRk3MI,24.0
Kn5UgGQukYQ,1.0
caN18WcW5XU,10.0
9Tb3xPmr3yg,25.0
t5SXnaaOJfY,24.0
D818vkK10UQ,17.0
PliRMGvytnA,24.0
r15_6z9xryo,19.0
JLOFZoBJnd8,24.0
fIElFIuzGLI,26.0
CWrjDoEBQsw,26.0
IuYFvaNHJug,10.0
jH2t4Tcl3Pg,10.0
wx-M8sxcOp8,17.0
vNya04dlC4I,24.0
Nt4tJHp27u0,23.0
YRRczTwopgA,1.0
avDL9JRcmgs,22.0
FZiCWBplZ90,23.0
EsBjHXCG4Us,27.0
eKwAib6LosM,10.0
Z1rZAT2GtmI,23.0
Lg5x-YWxpco,24.0
qv9Gt38LOKQ,26.0
8mCcM-PUmLM,22.0
Djxjmq9pvrM,26.0
wuEKwkTqdw4,25.0
leFNoUJmJ9o,22.0
aVpvVq_yZLM,25.0
aXLS_WDIugk,24.0
U44YLdW9AL4,19.0
EBt_88nxG4c,10.0
vFK7oWLWapc,1.0
M6LTqtYKDtI,10.0
UQHSK-kgONk,10.0
Ort8rZdpoXo,24.0
hGoQ44SfV-c,26.0
kTlv5_Bs8aw,10.0
5WUDfviiKRE,27.0
uUvgMnzplt4,23.0
2nshBD9EbxE,26.0
eZQdQ5pV6EE,22.0
HszBf-CJeVE,24.0
w2Es7-c9GAk,10.0
WKcYTvyoidw,25.0
3XklsSF53pc,24.0
-1yT-K3c6YI,22.0
0WPYpeJA__U,24.0
GBhrvR838Ag,25.0
aQzai9oXb-g,26.0
xArN1yUcXXc,24.0
hXzcIoq2ing,2.0
4sXyLTk0IAQ,23.0
zYX1bgxEAhw,24.0
Wiq7z_HS5DY,26.0
3oXhLdeuxDw,25.0
KXHrCBkIxQQ,24.0
YL9sNrOlK-I,17.0
BIPpvsf98wI,23.0
ljEjBIZ2qCQ,22.0
y7QjFRtt-sg,22.0
UXm1xHECZu0,24.0
piyds9slayg,26.0
UVaeRX9LybU,22.0
uZ1M3DkKCEI,10.0
FA_gIAGNDQ8,25.0
xGz_FZ0ePwE,10.0
mUcUy7SqdS0,28.0
puREqwXzyCI,23.0
NqntFonA2iY,24.0
pDi7cezk9CA,24.0
S2Cq_TpNXoQ,28.0
lD0etN63KCg,10.0
lDyHwwSMRmM,1.0
ds3tvjwdmGM,23.0
dpLrlEBFq-0,23.0
wgiW1uFZYr8,27.0
LgmxMuW6Fsc,10.0
pWZnhJay0Y8,24.0
My4RA5I0FKs,28.0
LqF3QRp3VCE,24.0
Wzvr_rtI82w,28.0
be3BHwNi58A,25.0
2omJBSQcm5g,24.0
Fq0cNEAbsJE,24.0
rtJ7JTApIfM,25.0
JANApS0P4z8,23.0
ElmsIGT85tI,10.0
aTvw9_dxBlk,25.0
J2kNt-PHayo,26.0
d8GHT9nK66Y,10.0
q9bGAAYR2MY,23.0
QgaYsdnOMiM,26.0
p7E8g-Ity0k,25.0
e77J4g0LMOk,24.0
817P8W8-mGE,10.0
8IEvxQKzLyI,17.0
OrwBc6PwAcY,22.0
HaRpFCEWLE0,10.0
uLY6Nypmk1A,10.0
6d6SmcYcP_U,24.0
f2xPEy4PrmA,23.0
NyNtWpDnT0Y,23.0
4iN6uiOsCr0,10.0
oFBuCp19L7M,24.0
EYLUUm9SLW0,22.0
8cpqLRC7T80,26.0
uFUHjJQIC_4,17.0
bMrRN99DYKU,10.0
7AXo-bYGXI4,10.0
BLts9UN_K3g,20.0
izwomieBwG0,27.0
fy5hua8oEVQ,1.0
BGtsTNCMrQI,20.0
76-ui4F8DJ0,24.0
iMg9ibfcBnM,24.0
WXyLdg4mJxo,10.0
0xCggNCs2kU,10.0
032BPsxhreM,24.0
aJ9XruZm_Hg,24.0
c3BTGJgd8Wo,24.0
_9YMpuLDnwo,26.0
hBvcngHRTFg,24.0
0doVNhCyoA4,25.0
W_pH4u5-NhE,23.0
fEskVQgtwaI,24.0
MDsJ9hheH30,24.0
ykHeGtN4m94,1.0
15aTCG3as6Q,24.0
mrORbZ2dS08,10.0
X6iJ0hPpGec,24.0
Ux7f_eqeLYw,22.0
AgrK2P3Ruug,24.0
mlCflbej6EM,1.0
RggWMGU2iYw,2.0
mebZJFd8_Vw,20.0
3yt4JsB9psg,25.0
v_CMMWCN5nQ,22.0
84hXRY0uwQ0,24.0
blgS56pESPk,17.0
_cn12TCA4SY,10.0
DQQN_79QrDY,24.0
dyBFAX4SDEc,20.0
inZzcTXYowY,10.0
oOAohDViea4,22.0
RdAKIVgTKuw,22.0
8KaKWPJq5dY,20.0
ceJcHUoO734,20.0
bg7RjxsghNY,10.0
qoPCbB_uGMw,25.0
5wKYV-9Tq1o,24.0
mNj27CgDAhQ,24.0
0v-6AylRH68,10.0
w4lcP5ZA4wg,15.0
JP5BL-lCoQI,24.0
sW5HaEsnuMI,28.0
X3gKYTc6lbw,23.0
8H0alk0e0tg,24.0
MtFjRvKfv70,17.0
dUztYCMZYls,20.0
r3d2alzgjKc,28.0
9WwKW2wIU-k,25.0
z1FfOwjlqxU,17.0
0ZAA9Y4F37I,25.0
h4kv0iKgiks,17.0
w4n1XcBdwFk,28.0
lzuWvKn80V8,23.0
TM8hwHtWSJg,24.0
UAJDrWVyOoA,23.0
Zzi4EQKBbOY,27.0
kl39KHS07Xc,27.0
WmNGq56WMLE,25.0
jgvQzWAhoiw,26.0
hNsd-m30m2E,24.0
U0Az4NHlzfc,23.0
UH0nTHb6OdY,24.0
XiIShINrftE,10.0
AzLYMcneJMU,25.0
O3bqhRN2thM,22.0
6TOSV3-7hzU,20.0
ZZE1_maXiAI,24.0
gCwDzQcbiF4,1.0
BEcs3TL8DII,17.0
wTiDluJ4Yd0,24.0
BWJY1na9qao,23.0
kzFHjyysXr0,23.0
QXcbVHFE2bo,24.0
j7RZy2B73hw,17.0
YlpXoQEqBWI,28.0
fYo_ZqCFafU,26.0
oKuPJ7zF0_k,24.0
UVNIEszp2UQ,24.0
w1zwGLBpULs,24.0
oXE-ssvbhQA,22.0
6xe64i_4GhM,25.0
vI4LHl4yFuo,28.0
r4ppTbMcFTo,10.0
2QHltvwTjSk,25.0
dkD1l8iKedE,22.0
oiAe-vck-sc,22.0
oQxKEtoHygY,10.0
bAHAwesTLB4,22.0
hZJDAJDD-uw,24.0
dedaP9ym-hY,10.0
stMM0EsoGwY,26.0
wwX-RSqxEXc,24.0
r4VJ8o6yqzM,24.0
1PhdQdJjDZc,17.0
dI5IxmA19jw,28.0
3UoKswz6OQc,24.0
JOZzku2SrzQ,23.0
jehMXPadHS0,24.0
8oKl_qDJHt4,24.0
MyAnv1nY5Vw,25.0
sVfTvLm-7Ac,17.0
LRrzLpfdY1g,10.0
F4Q3kWZ369A,10.0
6ZJghIk7_VA,28.0
89OP78l9oF0,1.0
IR8k4uYnTfI,28.0
sgT2Ozn17_c,24.0
JcdLF6XQ0iw,24.0
msfPaXGuSbo,1.0
GjDK_6NtYGQ,26.0
bUijOzaPfr8,22.0
DbF91ZtpGGc,23.0
LFhT6H6pRWg,22.0
jVbuBGSfLC4,1.0
a7NJ6Gek9v4,22.0
yArprk0q9eE,27.0
p_IwENcMPOA,10.0
-2b4qSoMnKE,25.0
q-jZm-FUbqs,17.0
FnAx2bLICOo,17.0
FfSXmbAGl8A,10.0
plnzNgtvvJo,24.0
W-KEuvd3S-Q,24.0
9mwM1VB9qs0,24.0
prmQgSpV3fA,10.0
G03bNA-gpXE,28.0
6kLYXbNZWRs,29.0
P-2r8XEuCII,23.0
R9OHn5ZF4Uo,27.0
fupYIggOq38,24.0
0-M5C7sQdGI,17.0
FYaxa4r-fRw,15.0
AZ4sakIfXUE,22.0
gy_aLyB41wQ,28.0
Jze8utzpLhg,26.0
ukqJTaHm-xc,26.0
ifkRhaEDzzo,24.0
gG_XI2jXMKs,24.0
AenmqoozqoA,10.0
XcSMdhfKga4,24.0
IU-Fo-QEpOI,17.0
lcpxLXjYAa8,25.0
RHUxyXZBXY8,10.0
y0BlGqwLLGQ,24.0
OziQ_a3Rpqw,24.0
mMzKvVtrC6U,24.0
AaALLWQmCdI,10.0
voozHXadYYE,27.0
z0UNp33SUTE,28.0
csqXekWeBYo,22.0
WS7f5xpGYn8,10.0
OWYKrIKMO1M,23.0
zLJsJR0O6VI,23.0
WQd6x4KmVhA,10.0
0-7wMD5ISIs,22.0
o495cZqcvAQ,25.0
3ToRIUoXmIw,24.0
sTVQDJyanco,22.0
j9n7Boia0po,17.0
9yWnVxe1qp8,15.0
yh1NAMi2oLg,19.0
Uv2LvQ0FEvo,24.0
VAk6bUhETHM,10.0
B2YCf8dTkIM,24.0
BIQK4-9YFW0,10.0
07S_Glj3uYs,10.0
ItL6vcUrpUs,10.0
bJje-B9YLIU,24.0
0umuSm2WA9g,25.0
cv8VhlIw6Qc,25.0
V_jU_ssWvc4,23.0
JnepCulEQOo,2.0
8eo-L_3OWAQ,1.0
dwEKqAwoz0Y,22.0
OcFcdFZQSBo,17.0
LotoBix4UDM,24.0
C5jcZGcMdaI,1.0
mN-rI2I0HaQ,26.0
DcCh33lJLMw,22.0
7keZTcdouoY,25.0
GEB2f5dpFXs,23.0
nZM9Ko806Bg,28.0
5EF5Curjr8k,10.0
6CPUUjAlXrs,24.0
SuFMMvrf4ao,24.0
tE5C3O71Xqo,28.0
apN4BMMKt2E,23.0
HHauPi8CS4k,15.0
zuRd_Eneuk8,1.0
inFGj1IyIwk,17.0
bWZ_Z5dgrb0,17.0
maAa7J3iEM8,24.0
VqcHUdHQ1u8,15.0
CMJblEavb7g,24.0
F3eSaEHSCu0,24.0
t0Ro2Yqs6mA,25.0
3RlbqOl_4NA,25.0
yirvgC-kMq0,24.0
fA8bw85NmlY,24.0
IoqDYnn7VKA,23.0
iYGq_qc-hWY,24.0
mnT4MDdEazs,24.0
S4vKQbpOn5k,1.0
sd80ZipTMDE,26.0
pMpQABKlC-I,23.0
cQtYcpRGGIY,26.0
24HFgBQawWA,10.0
E60w-0q8Y0Y,24.0
B1Kitc6cMXw,19.0
YsufMtUOXtI,23.0
H00djJq68VE,26.0
wqEknnPadMA,24.0
h8ycmroFQSs,28.0
aBQDFQwfX2w,25.0
SV2sPlDLQtU,1.0
MUWUHf-rzks,27.0
-37nIo_tLnk,17.0
2PQCLZbzxq8,24.0
KX0fOxBVMRc,26.0
8gE6cek7F30,26.0
OmLxYUOgTNs,17.0
5Q7mKQmNWSE,28.0
JRzZl_nq6fk,25.0
MSzytvDsPfo,24.0
S45Y5WQ4Ucs,15.0
_yThFcog0nA,26.0
b2EOxGUuBWA,1.0
5czA_L_eOp4,27.0
EaEesT3HO4w,17.0
Q48VduIflPk,10.0
2NpetP71B1o,19.0
4JGWxG-vE24,24.0
1WREZPc-kqQ,1.0
pihJVwap7iI,10.0
LsoLEjrDogU,10.0
ySy8mcceTno,24.0
4b_tL3mh-Gw,22.0
7FgazlhALyE,17.0
bS_Zr-Hu4Mw,26.0
mDRifR9HdK8,15.0
GTSjDaoZcAk,26.0
UfR5dKcKJvY,23.0
ejlD0Sg-8ig,26.0
XZo5o1Y0h9o,27.0
yMvpbrJ1CWQ,23.0
yJqsPBWbtjk,24.0
avnapsraeXM,22.0
1qG_NwTT-2k,23.0
i_N3q2ZAj-o,25.0
Q1INhRBrwKM,2.0
ieRXuTkbWEw,27.0
nk-_RJcWd4M,15.0
HDx7dI1D1zE,24.0
fyRwjMZFeJ4,28.0
10fjaHpOeWo,22.0
Lydh_saD9EQ,26.0
pEN_htHtt_c,15.0
REbjfHF0N0s,10.0
lsyXtbi9znw,24.0
VioegwSjypk,23.0
i6mQAdU646o,25.0
9sbnGfWaOwQ,26.0
hivGryRKGvk,2.0
0aFhzGEBQlk,28.0
IxF3mxWbdjw,24.0
Pc1Obe1BWhc,29.0
iWyQqwNAMdA,25.0
MMu-_KRZhwM,23.0
OPtomB--3Ss,15.0
0Juc2cL26mg,24.0
SipouoqLyxM,10.0
wOUTtsIp6tw,23.0
qxVQ7ZEG1RU,2.0
vUiE_0GPqKE,10.0
Y6sVQu-6uL0,22.0
lklTc_DTE8Q,26.0
mlpS-ph8-Ec,17.0
Xqy62kBAiLk,24.0
bT9HPXKP5dI,23.0
ExP3ikM_wko,19.0
YSVLsQ6VBdM,24.0
TgA2y-Bgi3c,24.0
YiSsAjNtsFc,24.0
5AGyFelwyk4,17.0
GStMSkhmYEs,19.0
6EHbZKLkeMg,24.0
8KgiaRPxRnQ,20.0
GFGVhIhEZJg,26.0
eDZKgSZ9V0Q,28.0
gmgI-B5pKzs,25.0
tgGJhBTVCW0,24.0
uGV1YqYAiIM,28.0
r_HGFvrw5nQ,23.0
Hl0GSLcwHVs,24.0
O-aQA1HKctQ,10.0
cAqmb-Pz4iM,25.0
260mj1dmJhU,24.0
7dKownfx75E,24.0
Ev9rOA2Yjs0,28.0
YXTzMOmmEfE,10.0
NuhhbcLyWWo,10.0
r5B5WmzdBKU,26.0
QIN5_tJRiyY,10.0
Ye4z35i1b2Q,26.0
X58fcXjR-pg,24.0
7N_tNfBxCxE,28.0
R8C9rZQlcKM,28.0
OQkfDJ2zVNo,23.0
_X8XtZZYkNA,28.0
VNigGwmovdA,25.0
X-zPrXJpiAw,1.0
TKMXw1YI5S4,22.0
ys2x8oOK7wE,10.0
MXpPRTHo5fs,24.0
8C8pRDetZr8,25.0
O8bszsJ0D7I,22.0
UPFo1B81hKM,24.0
qETfaJXx22g,10.0
nIne06IQd_U,26.0
C2-bOy3H6Ss,26.0
jb-To6qJcxU,26.0
HL6ECWZ8G1s,27.0
jkkinXnXErk,26.0
oyC4lLTOyL8,27.0
mrSUROagyDc,25.0
0Rj7pHC_6jc,26.0
Ex9mcCs3dhE,24.0
8nsWMmFYRqE,10.0
y4EbUvQ4a5s,1.0
zUrDUxh5xS0,27.0
fGHOLz35L8M,15.0
Jiia2IcFwqk,24.0
Zo_mpwmashg,23.0
HPdmdO0ZxgA,25.0
A_yJqOZcIQ0,22.0
MvFcY9rTPx8,25.0
mSVkk9lLv1Y,23.0
Lok8svIS218,22.0
v8VMdSQL50w,25.0
ijUK3z5rt5s,23.0
5TY79E-a2xU,25.0
HnnRyhuX_jM,24.0
oVbqjIuZgIk,24.0
TnCa71iUVxA,10.0
8EK-QMtHhMI,23.0
tUg-WLRdRv0,23.0
1CYch47uOZU,26.0
Hi2tjMLVpdQ,28.0
u6GnElEnaqQ,22.0
v5QCBkrbuy4,17.0
ZXEmAGAV8kA,2.0
XCz66YlNbPQ,19.0
iJPjFddLOxo,27.0
xgo7SDyFqvc,22.0
TXWkTc5_G4E,24.0
iXcqpJQD5II,26.0
AB_u_kOSP8Y,17.0
owndUjFYR8o,26.0
aeoeECXFksI,25.0
idD1C2-ISlo,10.0
9o2FXVhjLyY,24.0
MICQb4QW448,27.0
Ho-QAgN6hHA,17.0
4cXsgT3ZcL8,26.0
aVamZUeeR88,22.0
34mNW4YSJhw,24.0
v6WdrNN9j8w,23.0
U0W_rpvm3Ys,15.0
PtPNGls_sUg,2.0
jVNepCaqJok,22.0
C6SZa5U8sIg,1.0
VuyaBA4h4uk,20.0
FvBcYkY7ZGo,24.0
HDJYRLqTUjo,26.0
KaTr8JC0hFA,26.0
4ubwGb-vLA0,1.0
gehzrQiwUyM,26.0
s_LxZx42sIk,27.0
fCe38yjduXk,15.0
UBGb8jRjK4k,25.0
gvuvxLzUB-w,25.0
qpAo_XvCQaQ,24.0
3BJU2drrtCM,24.0
UNnHy6Qc5-c,23.0
ClM-MORjXQI,15.0
F4qfN5UeFvQ,10.0
cPSpmSXNy_A,10.0
Hz56cJfoYgc,26.0
GGvP6e56ja4,24.0
IiRmtBZu0pM,23.0
_0uV-jMbHQU,24.0
No35-c4zXjo,23.0
I92OeEHWmTc,10.0
bqPARIKHbN8,24.0
X41ArlJVNYc,23.0
J41qe-TM1DY,10.0
EsdjC5dsOTM,17.0
26qOMpjicGs,22.0
mA4NVRV1FGU,26.0
k9XvXBqhu-E,17.0
lUZPV3gGXgY,24.0
P3Bd3HUMkyU,20.0
E9eAshaPvYw,1.0
5x-d3pabd5o,10.0
90CCjgX0n20,24.0
Z9Mscw3O2XA,25.0
Kpxn9nl02qg,24.0
rjlxc-vxNBA,24.0
DTErM4uuPdc,26.0
rll790aP60Q,10.0
fOsphXJvaUE,24.0
0GQmGOju6CE,24.0
XIZmIl9SsXk,22.0
Np0LMwqtOVM,26.0
HvPbH30KWLE,10.0
8gcUmiOlM1M,24.0
eUgrVCDUCtE,1.0
AKstzozuLKY,24.0
caCdf94Blfw,1.0
byBCkV_j-As,26.0
lk8lozFBXpo,23.0
y6KYFcta4SE,25.0
fSutgzDY_I4,1.0
