,0,1
0,"['Happy', 'Sad']",1Ehk_koTfsA
1,[],yOE8H_1Dhz4
2,['Happy'],FLf4GEB50OY
3,[],jTa3wtRaEvk
4,[],L7hz4OGGfQU
5,['Neutral'],JL6fplzjna4
6,[],Or59elP4gSg
7,['Sad'],sj8Sg8qnjOg
8,['Sad'],EXjemGPr8Ns
9,[],m2LxaUzUP7Q
10,[],aa3VVZA0e5Y
11,[],PrJrq4-Jn4Y
12,"['Happy', 'Angry']",u4AjlI49loQ
13,"['Happy', 'Sad']",ytBW94FT_2k
14,[],c-stmgiXCZA
15,"['Fear', 'Happy', 'Angry', 'Angry', 'Happy']",2Rf0iXdZ1To
16,['Neutral'],tWf0SOPXWIk
17,[],krhB_YlX90w
18,"['Neutral', 'Sad']",XBcLRqxqSuo
19,"['Happy', 'Happy']",awQHKwL5jOA
20,[],EHQ4n980evI
21,"['Angry', 'Angry']",E2jtY5uJf-M
22,[],6XyQKTqsn_I
23,[],-JovAbxPGW4
24,"['Sad', 'Neutral']",Tn0IonXxjbc
25,"['Angry', 'Happy']",JU1aQmjFikM
26,"['Happy', 'Happy']",Se7ZoTON-ZE
27,[],22VI5juNVBM
28,['Angry'],kAY5jG5GQ3Y
29,['Angry'],IOCI5HRyFlM
30,"['Angry', 'Neutral']",RnhEXXWyHhY
31,[],LY_Yiu2U2Ts
32,"['Sad', 'Fear', 'Angry', 'Angry', 'Sad', 'Happy']",zYE17Wlep80
33,[],UGdif-dwu-8
34,[],w4rq0H8v_Dk
35,['Happy'],GccKmNRnfKQ
36,"['Happy', 'Happy']",xo6MkbUtABE
37,"['Sad', 'Happy', 'Sad', 'Sad']",i-sW4PfSxwA
38,['Angry'],KNwQCnfeIbA
39,"['Neutral', 'Happy', 'Sad']",yXIdy7Xhdos
40,[],LNuarCw8c8Y
41,['Neutral'],twf4attYfC0
42,['Neutral'],0biVv_ewGvQ
43,"['Angry', 'Sad']",d-4W1y6f3hg
44,"['Sad', 'Happy', 'Sad', 'Neutral', 'Fear']",5kQOFpix6KM
45,[],U-LsNCjmvhw
46,"['Neutral', 'Neutral']",nm9sLiEe-CA
47,[],AJjx5Jt3K2c
48,"['Neutral', 'Fear']",LxONIU-9_Zo
49,['Happy'],153JhD1EUbM
50,[],CX_uFs5vKc0
51,['Angry'],fOja1v314zc
52,['Surprise'],wIqq_4Tw-Ck
53,"['Neutral', 'Sad']",FJejRQuU8WM
54,['Angry'],_8uI2CzQzAI
55,"['Angry', 'Happy', 'Fear', 'Angry', 'Fear', 'Happy', 'Neutral']",ONJXjS0UlYA
56,"['Happy', 'Sad', 'Angry']",L21Zo01vOHk
57,[],iTvP9MZaOAo
58,"['Neutral', 'Happy']",2CICCBjnylM
59,"['Sad', 'Happy', 'Happy', 'Neutral']",gd3ZaU-qNK4
60,"['Angry', 'Neutral', 'Happy']",i0F-z13-vHQ
61,['Happy'],dImW_wsTfH0
62,[],kzBWRKL6Xhc
63,[],e3Pbw0nQgGY
64,['Happy'],NlQoe1I1ih8
65,['Angry'],jrk-xV3hfe8
66,"['Angry', 'Happy']",b60iiT4VWKc
67,[],UL9LnPa-3A4
68,"['Neutral', 'Happy', 'Happy', 'Neutral', 'Happy', 'Sad', 'Fear', 'Fear', 'Happy']",5gy7wSLhJr8
69,['Angry'],ZYzGHQbmloE
70,['Happy'],kbdyCwwG88s
71,"['Sad', 'Sad']",6kjeu9Uxa_U
72,[],xhUQ9GRx4uU
73,['Happy'],K3YnaQ64ELY
74,['Happy'],XhmzrIQBwlE
75,"['Sad', 'Happy']",PIYJF040Qng
76,[],W5SDyZ3BNMo
77,[],qlRUVJiEN-w
78,"['Sad', 'Angry']",pXjk4VSXxjg
79,"['Happy', 'Sad', 'Happy', 'Happy']",syk0Hgv3d_4
80,['Sad'],fqFiYWalww4
81,"['Sad', 'Sad']",lK5bEQ9NVqs
82,[],fH-hv8-c2UA
83,['Sad'],yIKII3O4GXA
84,[],Y1usMCRo108
85,['Happy'],AJUSpboE9IQ
86,['Happy'],4K_-peA7CPk
87,[],yU1BwH0iDU0
88,"['Sad', 'Neutral']",IJT_LfOVnU4
89,['Neutral'],n6xsjQCxQ9c
90,['Neutral'],1wAZqipDQ8Y
91,"['Sad', 'Happy', 'Happy', 'Angry', 'Fear', 'Angry', 'Sad', 'Sad', 'Fear', 'Happy', 'Neutral', 'Fear', 'Neutral', 'Happy', 'Neutral', 'Happy', 'Happy', 'Happy', 'Angry', 'Happy', 'Happy', 'Fear', 'Sad', 'Happy', 'Happy']",0ehf8f96jIA
92,['Happy'],8m8owyG5-d0
93,[],8t_NY-9r_IE
94,"['Surprise', 'Neutral']",bhQu0JOP2ow
95,"['Happy', 'Surprise']",njdGXAcdTeg
96,"['Happy', 'Sad', 'Surprise', 'Sad']",ly-umdSmy64
97,['Neutral'],B8npCFENL1k
98,[],bbnHkEbxbW8
99,[],eWTz3KBCxfg
100,"['Sad', 'Neutral']",l9oC4MsTIOY
101,"['Sad', 'Sad', 'Happy']",BuxoBY3n_Hg
102,['Happy'],NOX0_WeXUjU
103,"['Happy', 'Sad', 'Happy']",6DdKaPEeAgE
104,[],nzopehMyaLg
105,['Neutral'],03_EDK9Sn_E
106,['Sad'],LSMj-Yxx9qg
107,"['Sad', 'Happy']",7T3y3ySGAuY
108,"['Happy', 'Happy']",fNpgEHr6bRQ
109,['Happy'],lyIGQSlk8mw
110,['Happy'],Xqy9-fjQyRQ
111,"['Neutral', 'Angry']",e9ANVNCHBdQ
112,"['Happy', 'Sad', 'Happy']",zub5a4Bv2Pg
113,"['Neutral', 'Sad', 'Happy']",Lz-gpNVIcZU
114,"['Happy', 'Sad', 'Neutral', 'Happy', 'Neutral']",vfy3nwyrT-w
115,['Fear'],0VHPkv8ZQQI
116,['Neutral'],X4RDB-mMDJg
117,['Sad'],_ghETRi4LaQ
118,['Angry'],2d1OOwB6QSI
119,['Angry'],U9xOIVAI3aY
120,[],DGqNOWi-wk0
121,"['Happy', 'Happy']",Sm2S7lvgsBI
122,[],TAYvgsoH6I0
123,[],pky1jLrAKzs
124,"['Sad', 'Sad', 'Angry', 'Fear', 'Neutral', 'Angry']",i5Q0rcQZ4hE
125,['Sad'],5ytk8-TJag4
126,[],eopBwjy2bR8
127,['Sad'],AgkM5g_Ob-w
128,['Neutral'],q2DVUjwcY78
129,['Angry'],lx4cUXE28r0
130,"['Happy', 'Happy']",NFdUSQPxRYc
131,[],TQG7m1BFeRc
132,"['Happy', 'Happy', 'Happy']",QdwxKdYG1qI
