,0,1
0,"[['sandwich', 0.8648365139961243], ['person', 0.8067497611045837], ['dining table', 0.0489841103553772], ['hot dog', 0.0436478927731514], ['pizza', 0.02808108739554882], ['tie', 0.022021261975169182], ['tie', 0.013028719462454319]]",M_ThtCRAySw
1,"[['person', 0.8668781518936157], ['tie', 0.8411041498184204], ['person', 0.8058540225028992], ['tie', 0.3576607406139374], ['person', 0.28803855180740356], ['backpack', 0.06328769773244858], ['person', 0.04005502164363861], ['person', 0.011337806470692158]]",86kZMhO6yUk
2,"[['person', 0.36570286750793457], ['person', 0.09687820822000504], ['person', 0.014302179217338562], ['donut', 0.01281872671097517]]",w2Iz1Rn64hQ
3,"[['truck', 0.0709306076169014], ['train', 0.048543550074100494], ['car', 0.03169044107198715], ['car', 0.029291344806551933], ['stop sign', 0.014027235098183155], ['bus', 0.012580961920320988]]",IcN6KCQwnPg
4,"[['person', 0.9736496806144714], ['person', 0.9651569724082947], ['person', 0.159529909491539], ['kite', 0.13479110598564148], ['tennis racket', 0.040629442781209946], ['cell phone', 0.036810729652643204], ['skateboard', 0.03670218959450722], ['snowboard', 0.0330757237970829], ['person', 0.026649165898561478], ['surfboard', 0.025702781975269318], ['cell phone', 0.024436023086309433], ['person', 0.021214373409748077], ['person', 0.018632128834724426], ['backpack', 0.015606772154569626], ['cake', 0.013379478827118874], ['teddy bear', 0.013140225782990456], ['tennis racket', 0.011995529755949974], ['cell phone', 0.011983794160187244], ['fire hydrant', 0.011916135437786579], ['vase', 0.011898630298674107], ['frisbee', 0.011734087951481342], ['traffic light', 0.010110386647284031]]",8_5lIARlrzw
5,"[['person', 0.8444104194641113], ['tie', 0.10460934042930603], ['tie', 0.04336675629019737], ['bottle', 0.02415139228105545], ['chair', 0.020306862890720367]]",EppmImYL4_Q
6,"[['person', 0.2782663106918335], ['person', 0.043747007846832275], ['surfboard', 0.028504470363259315], ['person', 0.01877495087683201], ['elephant', 0.013505196198821068], ['car', 0.010125347413122654]]",NuUGrtmjQfY
7,"[['person', 0.9307360053062439], ['couch', 0.20091982185840607], ['cell phone', 0.04715391620993614], ['chair', 0.03990793973207474], ['person', 0.016447030007839203], ['chair', 0.011865691281855106], ['carrot', 0.010608435608446598]]",J8d697CHpr8
8,"[['person', 0.597375214099884], ['car', 0.17940565943717957], ['teddy bear', 0.09444884955883026], ['surfboard', 0.03955242037773132], ['truck', 0.02113945409655571], ['airplane', 0.016938239336013794], ['car', 0.014649217948317528], ['surfboard', 0.012401617132127285], ['person', 0.012233015149831772], ['car', 0.012221482582390308], ['umbrella', 0.011477349326014519]]",AoUzW6eQRRQ
9,"[['person', 0.5657398700714111], ['handbag', 0.10108675807714462], ['handbag', 0.03484746441245079], ['handbag', 0.03227546438574791], ['person', 0.026157012209296227], ['backpack', 0.025323107838630676], ['person', 0.020205168053507805], ['backpack', 0.014642676338553429], ['backpack', 0.010327219031751156]]",rUsGQ-jCkGU
10,"[['tie', 0.8895698189735413], ['person', 0.690421998500824], ['person', 0.18662241101264954], ['person', 0.018374649807810783], ['tie', 0.01584232784807682]]",Blswyy4x8Ls
11,"[['person', 0.7257242798805237], ['pizza', 0.7238245606422424], ['pizza', 0.06523527204990387], ['donut', 0.054384324699640274], ['donut', 0.03599786013364792], ['cake', 0.025100087746977806], ['person', 0.019786864519119263], ['cake', 0.01022367738187313]]",44kWUgFk7Ro
12,"[['person', 0.34228071570396423], ['potted plant', 0.024459533393383026], ['bench', 0.0220476184040308], ['boat', 0.011704031378030777], ['person', 0.010879342444241047], ['chair', 0.010459739714860916], ['cup', 0.010211658664047718]]",03UG0RDkT18
13,"[['person', 0.9335892796516418], ['person', 0.846564769744873], ['person', 0.2975118160247803], ['sports ball', 0.12365113943815231], ['suitcase', 0.04971884563565254], ['baseball glove', 0.04142650589346886], ['person', 0.03927429020404816], ['backpack', 0.038252852857112885], ['backpack', 0.030506717041134834], ['kite', 0.023306844756007195], ['cell phone', 0.020477069541811943], ['umbrella', 0.018145348876714706], ['handbag', 0.01146724633872509], ['book', 0.010839524678885937]]",49dj58vFfCQ
14,"[['person', 0.7703427672386169], ['cell phone', 0.12293893098831177], ['cell phone', 0.10389254987239838], ['cell phone', 0.0792950913310051], ['handbag', 0.037612080574035645], ['cell phone', 0.029185600578784943], ['cell phone', 0.02790146879851818], ['person', 0.02595832757651806], ['cell phone', 0.017998790368437767], ['cell phone', 0.017153983935713768], ['horse', 0.017131974920630455], ['cell phone', 0.014111527241766453], ['cell phone', 0.013791131787002087], ['handbag', 0.012489723041653633]]",nBgDf_PVDXI
15,"[['airplane', 0.5632126331329346], ['airplane', 0.1048516258597374], ['truck', 0.06691332161426544], ['truck', 0.06298276782035828], ['car', 0.05358776077628136], ['airplane', 0.04522140696644783], ['airplane', 0.040514372289180756], ['person', 0.03990280628204346], ['person', 0.038205310702323914], ['person', 0.034223418682813644], ['person', 0.03421974182128906], ['airplane', 0.03194528445601463], ['person', 0.031148390844464302], ['airplane', 0.03086821921169758], ['airplane', 0.028800170868635178], ['airplane', 0.02619163878262043], ['airplane', 0.02181774191558361], ['person', 0.021582892164587975], ['person', 0.021486937999725342], ['person', 0.021097714081406593], ['person', 0.019016340374946594], ['boat', 0.018602754920721054], ['car', 0.01845584437251091], ['boat', 0.0167562086135149], ['person', 0.012589545920491219], ['car', 0.012528598308563232], ['person', 0.011919427663087845], ['truck', 0.01150332111865282], ['person', 0.011451487429440022], ['truck', 0.010145365260541439]]",EELa5wnv1v8
16,"[['person', 0.9247044920921326], ['tv', 0.11716599017381668], ['tv', 0.06597878783941269], ['tv', 0.06050954386591911], ['tv', 0.039366211742162704], ['person', 0.032390911132097244], ['book', 0.022817296907305717], ['laptop', 0.02258099429309368], ['laptop', 0.021290555596351624], ['microwave', 0.020639097318053246], ['book', 0.014436276629567146], ['tv', 0.01441922876983881], ['bed', 0.014012942090630531], ['oven', 0.01137237623333931], ['person', 0.01097120251506567]]",ny1AR0fGpZo
17,"[['person', 0.9823498725891113], ['person', 0.936816930770874], ['person', 0.610146164894104], ['tennis racket', 0.49668267369270325], ['bowl', 0.11023564636707306], ['bowl', 0.09946846961975098], ['baseball bat', 0.0803423747420311], ['bowl', 0.056143615394830704], ['clock', 0.038523998111486435], ['skis', 0.019503658637404442], ['cup', 0.014824888668954372], ['clock', 0.014367256313562393]]",-L5NOZ8jRzE
