video_id,word_id,ocr_text,bbox
--eizV2HaS0,0,wet,"[[88, 5], [130, 24]]"
--eizV2HaS0,1,8,"[[133, 5], [149, 24]]"
--eizV2HaS0,2,cool,"[[153, 5], [202, 24]]"
--eizV2HaS0,3,weather,"[[207, 5], [294, 23]]"
--eizV2HaS0,4,continues,"[[297, 4], [401, 26]]"
--eizV2HaS0,5,now,"[[21, 16], [36, 21]]"
--eizV2HaS0,6,march,"[[131, 30], [197, 50]]"
--eizV2HaS0,7,15,"[[201, 30], [226, 49]]"
--eizV2HaS0,8,193,"[[257, 30], [289, 52]]"
--eizV2HaS0,9,2018,"[[290, 30], [341, 49]]"
--eizV2HaS0,10,to,"[[229, 32], [252, 50]]"
--eizV2HaS0,11,storm,"[[204, 68], [261, 86]]"
--eizV2HaS0,12,2,"[[266, 68], [280, 85]]"
--eizV2HaS0,13,precipitation,"[[26, 73], [80, 82]]"
--eizV2HaS0,14,chances,"[[81, 73], [120, 82]]"
--eizV2HaS0,15,temperature,"[[338, 73], [393, 85]]"
--eizV2HaS0,16,departure,"[[393, 73], [437, 84]]"
--eizV2HaS0,17,n,"[[425, 150], [437, 164]]"
--eizV2HaS0,18,wind,"[[384, 148], [427, 178]]"
--eizV2HaS0,19,very,"[[46, 194], [66, 204]]"
--eizV2HaS0,20,wet,"[[69, 194], [88, 204]]"
--eizV2HaS0,21,cool,"[[286, 196], [308, 205]]"
--eizV2HaS0,22,and,"[[308, 197], [325, 206]]"
--eizV2HaS0,23,below,"[[326, 197], [352, 205]]"
--eizV2HaS0,24,above,"[[48, 206], [73, 216]]"
--eizV2HaS0,25,narma,"[[285, 209], [314, 217]]"
--eizV2HaS0,26,average,"[[48, 218], [81, 228]]"
--eizV2HaS0,27,nobr,"[[20, 248], [41, 256]]"
--eizV2HaS0,28,intercomplession,"[[243, 280], [402, 318]]"
--eizV2HaS0,29,precipita,"[[9, 294], [74, 317]]"
--eizV2HaS0,30,outh,"[[70, 294], [102, 316]]"
--eizV2HaS0,31,oplobability,"[[98, 294], [182, 314]]"
--eizV2HaS0,32,maded,"[[244, 297], [281, 318]]"
--eizV2HaS0,33,mhar,"[[290, 297], [321, 318]]"
--eizV2HaS0,34,1,"[[320, 308], [325, 316]]"
--eizV2HaS0,35,19,"[[353, 308], [373, 317]]"
--eizV2HaS0,36,2018,"[[380, 306], [409, 317]]"
--eizV2HaS0,37,callo,"[[9, 313], [46, 334]]"
--eizV2HaS0,38,9,"[[50, 314], [60, 324]]"
--eizV2HaS0,39,mark,"[[57, 313], [88, 334]]"
--eizV2HaS0,40,19016,"[[85, 313], [122, 332]]"
--eizV2HaS0,41,19,"[[120, 322], [138, 332]]"
--eizV2HaS0,42,2018,"[[146, 321], [176, 333]]"
--eizV2HaS0,43,building,"[[67, 339], [124, 357]]"
--eizV2HaS0,44,weatherready,"[[137, 340], [237, 356]]"
--eizV2HaS0,45,nation,"[[237, 341], [281, 354]]"
--eizV2HaS0,46,a,"[[124, 344], [134, 354]]"
--SzddVKOnI,0,beme,"[[21, 254], [164, 294]]"
--_jF4j66gA,0,ohnygodohmygon,"[[89, 191], [209, 207]]"
--_jF4j66gA,1,lit,"[[124, 212], [174, 238]]"
--_jF4j66gA,2,it,"[[10, 213], [44, 238]]"
--_jF4j66gA,3,got,"[[47, 213], [119, 238]]"
--_jF4j66gA,4,with,"[[13, 240], [100, 265]]"
--_jF4j66gA,5,voo,"[[176, 249], [200, 261]]"
--_jF4j66gA,6,shane,"[[10, 268], [125, 293]]"
--_jF4j66gA,7,dawson,"[[130, 268], [278, 293]]"
--_jF4j66gA,8,work,"[[128, 293], [162, 301]]"
--_jF4j66gA,9,jhmv,"[[86, 296], [114, 305]]"
-0kVpJya5us,0,ireland,"[[20, 66], [316, 120]]"
-0kVpJya5us,1,ylog,"[[215, 125], [280, 185]]"
-0kVpJya5us,2,cravel,"[[160, 142], [222, 170]]"
-1wRBPjLgp4,0,kevin,"[[60, 254], [122, 273]]"
-1wRBPjLgp4,1,joe,"[[153, 258], [182, 276]]"
-1wRBPjLgp4,2,keery,"[[185, 259], [235, 279]]"
-1wRBPjLgp4,3,pollakis,"[[74, 270], [145, 282]]"
-1wRBPjLgp4,4,keery,"[[179, 276], [205, 288]]"
-1wRBPjLgp4,5,goo,"[[154, 278], [176, 286]]"
-1wRBPjLgp4,6,chat,"[[49, 280], [85, 292]]"
-1wRBPjLgp4,7,show,"[[86, 280], [128, 292]]"
