video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
,,,[]
--SzddVKOnI,beme,beme,"[""[[21, 254], [164, 294]]""]"
--_jF4j66gA,ohnygodohmygon lit it got with voo shane dawson work jhmv,ohnygodohmygon lit get voo shane dawson work jhmv,"[""[[89, 191], [209, 207]]"", ""[[124, 212], [174, 238]]"", ""[[47, 213], [119, 238]]"", ""[[176, 249], [200, 261]]"", ""[[10, 268], [125, 293]]"", ""[[130, 268], [278, 293]]"", ""[[128, 293], [162, 301]]"", ""[[86, 296], [114, 305]]""]"
--eizV2HaS0,wet 8 cool weather continues now march 15 193 2018 to storm 2 precipitation chances temperature departure n wind very wet cool and below above narma average nobr intercomplession precipita outh oplobability maded mhar 1 19 2018 callo 9 mark 19016 19 2018 building weatherready nation a,wet cool weather continue march 193 2018 storm precipitation chance temperature departure wind narma average nobr intercomplession precipita outh oplobability maded mhar callo mark 19016 building weatherready nation,"[""[[69, 194], [88, 204]]"", ""[[286, 196], [308, 205]]"", ""[[207, 5], [294, 23]]"", ""[[297, 4], [401, 26]]"", ""[[131, 30], [197, 50]]"", ""[[257, 30], [289, 52]]"", ""[[146, 321], [176, 333]]"", ""[[204, 68], [261, 86]]"", ""[[26, 73], [80, 82]]"", ""[[81, 73], [120, 82]]"", ""[[338, 73], [393, 85]]"", ""[[393, 73], [437, 84]]"", ""[[384, 148], [427, 178]]"", ""[[285, 209], [314, 217]]"", ""[[48, 218], [81, 228]]"", ""[[20, 248], [41, 256]]"", ""[[243, 280], [402, 318]]"", ""[[9, 294], [74, 317]]"", ""[[70, 294], [102, 316]]"", ""[[98, 294], [182, 314]]"", ""[[244, 297], [281, 318]]"", ""[[290, 297], [321, 318]]"", ""[[9, 313], [46, 334]]"", ""[[57, 313], [88, 334]]"", ""[[85, 313], [122, 332]]"", ""[[67, 339], [124, 357]]"", ""[[137, 340], [237, 356]]"", ""[[237, 341], [281, 354]]""]"
-0kVpJya5us,ireland ylog cravel,ireland ylog cravel,"[""[[20, 66], [316, 120]]"", ""[[215, 125], [280, 185]]"", ""[[160, 142], [222, 170]]""]"
-1wRBPjLgp4,kevin joe keery pollakis keery goo chat show,kevin joe keery pollakis goo chat show,"[""[[60, 254], [122, 273]]"", ""[[153, 258], [182, 276]]"", ""[[179, 276], [205, 288]]"", ""[[74, 270], [145, 282]]"", ""[[154, 278], [176, 286]]"", ""[[49, 280], [85, 292]]"", ""[[86, 280], [128, 292]]""]"
-1zeOMJIEQY,pnu power 106 fm pusha 7 daytona release,pnu power 106 pusha daytona release,"[""[[356, 56], [410, 92]]"", ""[[13, 58], [85, 89]]"", ""[[14, 89], [48, 108]]"", ""[[226, 186], [424, 232]]"", ""[[225, 232], [345, 252]]"", ""[[345, 230], [448, 252]]""]"
-4QhLG8xOsE,hd shemaroo ganga ki saugand,shemaroo ganga saugand,"[""[[401, 60], [465, 77]]"", ""[[4, 160], [144, 234]]"", ""[[0, 221], [189, 312]]""]"
-5RCmu-HuTg,how to academy,academy,"[""[[24, 273], [77, 284]]""]"
-5tkXwu2I9A,hd,,[]
-5uebIQorsg,kitchen nightmares,kitchen nightmare,"[""[[23, 225], [155, 277]]"", ""[[16, 269], [162, 302]]""]"
-6HH1BBDv2Y,sju screen junkies universe,sju screen junky universe,"[""[[13, 241], [117, 289]]"", ""[[12, 290], [44, 305]]"", ""[[42, 292], [77, 305]]"", ""[[76, 292], [117, 305]]""]"
-7er2Tw3ryg,holiday diy bombs bath,holiday diy bomb bath,"[""[[309, 182], [483, 249]]"", ""[[224, 205], [315, 259]]"", ""[[344, 231], [474, 289]]"", ""[[247, 245], [348, 301]]""]"
-8fGvLFkpL8,6 95106 capita he fin,95106 caput fin,"[""[[320, 61], [384, 87]]"", ""[[297, 82], [382, 110]]"", ""[[353, 112], [373, 133]]""]"
-A9rYcBmBFo,review spoiler,review spoiler,"[""[[252, 253], [460, 301]]"", ""[[22, 254], [240, 301]]""]"
-AGEHJQ0SY8,space cakez,space cakez,"[""[[322, 124], [437, 192]]"", ""[[334, 159], [473, 243]]""]"
-BDImdAfodA,vevo,vevo,"[""[[13, 278], [102, 305]]""]"
-CEWJ9TZ5X8,fox news channel,fox news channel,"[""[[36, 230], [101, 258]]"", ""[[25, 258], [102, 284]]"", ""[[17, 290], [102, 301]]""]"
-C_rvt0SwLE,imagine oragons next to me vevo,imagine oragons next vevo,"[""[[18, 61], [81, 77]]"", ""[[80, 61], [157, 78]]"", ""[[368, 62], [408, 74]]"", ""[[12, 277], [102, 305]]""]"
-D7vK5fPIcg,grit line fall in christina aguilera lfas demi lovato i,grit line fall christina aguilera lfas demi lovato,"[""[[13, 56], [45, 69]]"", ""[[274, 102], [380, 143]]"", ""[[110, 104], [200, 142]]"", ""[[69, 186], [246, 219]]"", ""[[256, 186], [420, 227]]"", ""[[93, 229], [183, 260]]"", ""[[190, 232], [265, 257]]"", ""[[272, 233], [374, 257]]""]"
-DMbXGhc5eA,20d,20d,"[""[[17, 170], [205, 290]]""]"
-DRsfNObKIQ,ision euro contest song lisbonzo1b cyprus live first semifinal,ision euro contest song lisbonzo1b cyprus live first semifinal,"[""[[133, 154], [185, 182]]"", ""[[65, 164], [117, 192]]"", ""[[119, 182], [167, 197]]"", ""[[88, 186], [119, 200]]"", ""[[101, 193], [155, 207]]"", ""[[65, 212], [164, 238]]"", ""[[184, 218], [239, 243]]"", ""[[75, 234], [146, 258]]"", ""[[148, 237], [290, 267]]""]"
-E-ak7tUzew,skate street park,skate street park,"[""[[280, 53], [448, 93]]"", ""[[12, 70], [208, 110]]"", ""[[297, 97], [436, 136]]""]"
-EPki8I8N4M,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
-El8z4uy5Ac,os felizcafe cracked hours after,felizcafe crack hour,"[""[[169, 114], [209, 122]]"", ""[[80, 190], [210, 215]]"", ""[[237, 214], [429, 292]]""]"
-ExRzTHfNRo,lifetime,lifetime,"[""[[21, 245], [105, 262]]""]"
-FFuLazDMSo,10x annual loss 1111x gain,10x annual loss 1111x gain,"[""[[246, 97], [289, 114]]"", ""[[292, 97], [357, 113]]"", ""[[358, 97], [401, 113]]"", ""[[246, 129], [320, 145]]"", ""[[322, 129], [368, 145]]""]"
-FrKuz2nfPY,new,new,"[""[[360, 92], [470, 150]]""]"
-FwAlRAM4W0,this morning wheamonneruth,morning wheamonneruth,"[""[[12, 230], [124, 262]]"", ""[[16, 256], [120, 274]]""]"
-H-XrsVLeMM,internetz japan on garbage2 bullet trainz washroomp,internetz japan garbage2 bullet trainz washroomp,"[""[[0, 50], [220, 94]]"", ""[[233, 59], [302, 85]]"", ""[[341, 214], [480, 246]]"", ""[[6, 232], [132, 269]]"", ""[[8, 266], [132, 305]]"", ""[[224, 266], [476, 313]]""]"
-HvoxZiNQO8,the making beer country of behind with budweiser clydesdales the the scenes,make beer country behind budweiser clydesdale scene,"[""[[92, 153], [190, 181]]"", ""[[229, 153], [307, 181]]"", ""[[310, 153], [440, 181]]"", ""[[16, 186], [81, 208]]"", ""[[261, 186], [356, 208]]"", ""[[356, 185], [466, 210]]"", ""[[115, 190], [181, 207]]""]"
