video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description 
r5rYxGK_VtA,,Gigi And Bella Hadid Take The Sculpture Challenge | Vogue Challenges | British Vogue,Vogue,,2018-02-02T10:10:19Z,,,,,,,,,,"Gigi Hadid and Bella Hadid, cover stars of Vogue's March 2018 issue, take the sculpture challenge to find out just how well they know each other – but who will ..."
kTg8gKfq8TI,,Life Codes by Coco Chanel | British Vogue,Vogue,,2018-06-01T10:20:36Z,,,,,,,,,,"Always keep your heels, head and standards high.” Models Alecia Morais, Azza Slimene, Demy de Vries and Loane Normand demonstrate a number of Coco ..."
1CBTb-nz0dQ,,Phoebe Waller-Bridge: My First... | Episode 2 | British Vogue,Vogue,,2018-04-04T09:26:26Z,,,,,,,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...
n2wIqXBz4os,,Waking Up With Ariana Grande | British Vogue,Vogue,,2018-06-08T14:58:31Z,,,,,,,,,,"""I'm very grateful to be here, and that overpowers any of the negative elements that come with fame."" Vogue wakes up with Ariana Grande, cover star of the July ..."
4NZXh96yZBI,,Naomi Campbell Remembers Azzedine Alaïa | British Vogue,Vogue,,2018-01-05T12:52:52Z,,,,,,,,,,"Vogue contributing editor Naomi Campbell discusses her personal relationship with the late designer Azzedine Alaia with Tim Blanks, in a film by Kloss Films."
aiKEDHVZZcU,,Cara Delevingne: A Bride Less Ordinary | British Vogue,Vogue,,2018-05-10T10:37:41Z,,,,,,,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...
z6l96XwwimY,,Francesca Hayward: Five Favourite Objects | Episode 4 | British Vogue,Vogue,,2018-01-25T13:00:35Z,,,,,,,,,,"The Royal Ballet's principal dancer Francesca Hayward talks Vogue through five of her favourite objects - from her well-used pointe shoes, to the childhood doll ..."
oNFGlFSnPcg,,What Would Anya Taylor-Joy Do? | British Vogue,Vogue,,2018-03-15T11:51:44Z,,,,,,,,,,"British Vogue meets Anya Taylor-Joy, star of 2015 film The Witch and BAFTA Rising Star-nominated actress, to ask what happens when she gets starstruck, the ..."
SfX1yd-c0U8,,The Full Look With Hailey Baldwin | British Vogue &amp; Pandora,Vogue,,2018-03-12T16:31:28Z,,,,,,,,,,From the definitive summer dress to picking the perfect outfit for lunch with an ex - here's what happened when Vogue got dressed for spring/summer 2018 with ...
448rx6xFUSE,,Helen Mirren’s Life Lessons | British Vogue,Vogue,,2018-01-31T12:34:48Z,,,,,,,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...
mXQuto1fMp4,,Rudy Giuliani: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-05-07T06:30:00Z,,,,,,,,,,"Rudy Giuliani is new to Trump's legal team, but not to public controversy. John Oliver examines his turbulent record as a lawyer, a politician, and an enemy to ..."
hWQiXv0sn9Y,,Rehab: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-05-21T06:30:00Z,,,,,,,,,,The addiction treatment industry is dangerously unregulated. John Oliver explains why many rehab programs should incorporate more evidence-based care ...
nG2pEffLEJo,,Guardianship: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-06-04T06:30:00Z,,,,,,,,,,It's alarmingly easy for a total stranger to gain total control over the life of a senior citizen. We enlisted a group of celebrities to offer a warning about predatory ...
mOVPStnVgvU,,Stupid Watergate II: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-06-11T06:30:00Z,,,,,,,,,,John Oliver explains how the president and his allies are going full O. J. in order to undermine the investigation of Russian interference in the 2016 election.
g6iDZspbRMg,,Cryptocurrencies: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-12T06:30:00Z,,,,,,,,,,Digital currencies are generating a lot of excitement. John Oliver enlists Keegan-Michael Key to get potential investors equally excited about the concept of ...
RKjk0ECXjiQ,,Corporate Taxes: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-16T06:30:00Z,,,,,,,,,,"Many of America's largest corporations shift a surprising portion of their profits overseas to avoid paying taxes. Even more surprisingly, that's a legal thing to do."
LEcbagW4O-s,,NRA TV: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-05T07:30:01Z,,,,,,,,,,"The NRA's streaming lifestyle network aims to boost gun sales, often by using an ominous tone that would make just about anything sound terrifying...including ..."
rs2RlZQVXBU,,Mike Pence: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-19T06:30:00Z,,,,,,,,,,Mike Pence is much more unlikable than his pet rabbit who stars in a new children's book created by the Pence family and in a better children's book created by ...
5xnZ_CeTqyM,,Iran Deal: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-23T06:30:02Z,,,,,,,,,,Donald Trump could soon dismantle the agreement designed to curb the Iranian nuclear program. Our catheter cowboy will do his best to keep that from ...
9fB0GBwJ2QA,,Immigration Courts: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-02T06:30:00Z,,,,,,,,,,America's dysfunctional immigration court system forces many children to appear in court alone. That's as ridiculous in real life as it would be on a courtroom ...
