,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description ,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
0,r5rYxGK_VtA,,Gigi And Bella Hadid Take The Sculpture Challenge | Vogue Challenges | British Vogue,Vogue,,2018-02-02T10:10:19Z,,6289249,122074,1944,2008,https://i.ytimg.com/vi/r5rYxGK_VtA/hqdefault.jpg,,,,"Gigi Hadid and Bella Hadid, cover stars of Vogue's March 2018 issue, take the sculpture challenge to find out just how well they know each other – but who will ...",,,,,,,,,,,,,,,,,,,,,,,,
0,4NZXh96yZBI,,Naomi Campbell Remembers Azzedine Alaïa | British Vogue,Vogue,,2018-01-05T12:52:52Z,,123024,3290,16,120,https://i.ytimg.com/vi/4NZXh96yZBI/hqdefault.jpg,,,,"Vogue contributing editor Naomi Campbell discusses her personal relationship with the late designer Azzedine Alaia with Tim Blanks, in a film by Kloss Films.",,,,,,,,,,,,,,,,,,,,,,,,
0,kTg8gKfq8TI,,Life Codes by Coco Chanel | British Vogue,Vogue,,2018-06-01T10:20:36Z,,968406,53133,525,565,https://i.ytimg.com/vi/kTg8gKfq8TI/hqdefault.jpg,,,,"Always keep your heels, head and standards high.” Models Alecia Morais, Azza Slimene, Demy de Vries and Loane Normand demonstrate a number of Coco ...",,,,,,,,,,,,,,,,,,,,,,,,
0,1CBTb-nz0dQ,,Phoebe Waller-Bridge: My First... | Episode 2 | British Vogue,Vogue,,2018-04-04T09:26:26Z,,261716,3302,24,100,https://i.ytimg.com/vi/1CBTb-nz0dQ/hqdefault.jpg,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...,,,,,,,,,,,,,,,,,,,,,,,,
0,n2wIqXBz4os,,Waking Up With Ariana Grande | British Vogue,Vogue,,2018-06-08T14:58:31Z,,8576718,301710,5581,6124,https://i.ytimg.com/vi/n2wIqXBz4os/hqdefault.jpg,,,,"""I'm very grateful to be here, and that overpowers any of the negative elements that come with fame."" Vogue wakes up with Ariana Grande, cover star of the July ...",,,,,,,,,,,,,,,,,,,,,,,,
0,aiKEDHVZZcU,,Cara Delevingne: A Bride Less Ordinary | British Vogue,Vogue,,2018-05-10T10:37:41Z,,1616338,54007,1231,1831,https://i.ytimg.com/vi/aiKEDHVZZcU/hqdefault.jpg,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...,,,,,,,,,,,,,,,,,,,,,,,,
0,z6l96XwwimY,,Francesca Hayward: Five Favourite Objects | Episode 4 | British Vogue,Vogue,,2018-01-25T13:00:35Z,,172784,3800,29,118,https://i.ytimg.com/vi/z6l96XwwimY/hqdefault.jpg,,,,"The Royal Ballet's principal dancer Francesca Hayward talks Vogue through five of her favourite objects - from her well-used pointe shoes, to the childhood doll ...",,,,,,,,,,,,,,,,,,,,,,,,
0,oNFGlFSnPcg,,What Would Anya Taylor-Joy Do? | British Vogue,Vogue,,2018-03-15T11:51:44Z,,1216860,23997,284,982,https://i.ytimg.com/vi/oNFGlFSnPcg/hqdefault.jpg,,,,"British Vogue meets Anya Taylor-Joy, star of 2015 film The Witch and BAFTA Rising Star-nominated actress, to ask what happens when she gets starstruck, the ...",,,,,,,,,,,,,,,,,,,,,,,,
0,SfX1yd-c0U8,,The Full Look With Hailey Baldwin | British Vogue &amp; Pandora,Vogue,,2018-03-12T16:31:28Z,,2521767,46217,2679,1225,https://i.ytimg.com/vi/SfX1yd-c0U8/hqdefault.jpg,,,,From the definitive summer dress to picking the perfect outfit for lunch with an ex - here's what happened when Vogue got dressed for spring/summer 2018 with ...,,,,,,,,,,,,,,,,,,,,,,,,
0,448rx6xFUSE,,Helen Mirren’s Life Lessons | British Vogue,Vogue,,2018-01-31T12:34:48Z,,53645,1934,13,45,https://i.ytimg.com/vi/448rx6xFUSE/hqdefault.jpg,,,,ABOUT BRITISH VOGUE British Vogue is the world's leading premium lifestyle and fashion entertainment channel. Weekly releases and brand new original ...,,,,,,,,,,,,,,,,,,,,,,,,
