video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description 
9ZrAjnPHzjQ,,DIY dot matrix pencil printer,Terrormink,,2018-01-29T01:18:08Z,,,,,,,,,,"Made this printer out of a scanner, CD-ROM drive, mechanical hard drive, Arduino Duemilanove, Meccano, three motor driver boards, and a pencil. I use a point ..."
tOpTQ3Fuf9s,,NCT 2018 엔시티 2018 &#39;Black on Black&#39; Dance Practice,SMTOWN,,2018-04-22T12:00:03Z,,,,,,,,,,NCT 2018 엔시티 2018 'Black on Black' Dance Practice ℗ SM Entertainment.
k0DqRstCgj4,,NCT U 엔시티 유 &#39;Baby Don&#39;t Stop&#39; MV,SMTOWN,,2018-02-26T15:00:05Z,,,,,,,,,,[Tracklist] 01 INTRO: Neo Got My Back 02 BOSS 03 Baby Don't Stop 04 GO 05 TOUCH 06 YESTODAY 07 Black on Black 08 텐데… (Timeless) 09 일곱 번째 ...
-7tSTUR7FG0,,NCT U 엔시티 유 &#39;BOSS&#39; Dance Practice,SMTOWN,,2018-02-27T12:00:00Z,,,,,,,,,,"NCT U ""BOSS"" MV has reached 10 million views! Thank you for your love and support! NCT Official http://www.nct2018.com http://www.youtube.com/chnct ..."
1CYH4F1KCw8,,NCT 2018 엔시티 2018 &#39;Black on Black&#39; MV (Performance Ver.),SMTOWN,,2018-04-18T15:00:01Z,,,,,,,,,,[Tracklist] 01 INTRO: Neo Got My Back 02 BOSS 03 Baby Don't Stop 04 GO 05 TOUCH 06 YESTODAY 07 Black on Black 08 텐데… (Timeless) 09 일곱 번째 ...
XcdLVKYsHHU,,EXO エクソ &#39;Electric Kiss&#39; Dance Practice,SMTOWN,,2018-01-13T03:00:01Z,,,,,,,,,,"EXO's 1st full album in Japan ""COUNTDOWN"" is out. The title track ""Electric Kiss"" Dance Practice Video is released!! EXO Japan Official http://exo-jp.net/ ..."
0AUFyFEt35g,,NCT U 엔시티 유 &#39;BOSS&#39; MV,SMTOWN,,2018-02-18T15:00:00Z,,,,,,,,,,[Tracklist] 01 INTRO: Neo Got My Back 02 BOSS 03 Baby Don't Stop 04 GO 05 TOUCH 06 YESTODAY 07 Black on Black 08 텐데… (Timeless) 09 일곱 번째 ...
6sHIq41sI-w,,NCT 127 엔시티 127 &#39;TOUCH&#39; MV,SMTOWN,,2018-03-13T15:01:07Z,,,,,,,,,,[Tracklist] 01 INTRO: Neo Got My Back 02 BOSS 03 Baby Don't Stop 04 GO 05 TOUCH 06 YESTODAY 07 Black on Black 08 텐데… (Timeless) 09 일곱 번째 ...
UdjEoGzXxmI,,EXO-CBX (첸백시) &#39;花요일 (Blooming Day)&#39; Dance Practice,SMTOWN,,2018-04-23T15:00:02Z,,,,,,,,,,EXO-CBX (첸백시) '花요일 (Blooming Day)' Dance Practice ℗ SM Entertainment.
cD8SYW8rjaQ,,NCT DREAM 엔시티 드림 &#39;GO&#39; MV,SMTOWN,,2018-03-04T15:00:05Z,,,,,,,,,,[Tracklist] 01 INTRO: Neo Got My Back 02 BOSS 03 Baby Don't Stop 04 GO 05 TOUCH 06 YESTODAY 07 Black on Black 08 텐데… (Timeless) 09 일곱 번째 ...
8b2EP0NZtrU,,NCT 2018 Yearbook #2,SMTOWN,,2018-02-01T15:00:02Z,,,,,,,,,,NCT Official http://www.nct2018.com http://www.youtube.com/chnct http://www.facebook.com/NCT.smtown http://www.instagram.com/nct ...
HuwPCUzqwKs,,"Milo Manheim, Meg Donnelly - Someday - Ballad (From &quot;ZOMBIES&quot;)",DisneyMusicVEVO,,2018-03-15T05:48:53Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
X-L40JAuaGU,,Monster (From &quot;Frozen: The Broadway Musical&quot;/Audio Only),DisneyMusicVEVO,,2018-05-11T04:00:07Z,,,,,,,,,,"Music video by Caissie Levy, John Riddle, Original Broadway Cast of Frozen performing Monster. © 2018 Walt Disney Records http://vevo.ly/VhSTDt."
3yy-dKTmyOo,,"Milo Manheim, Meg Donnelly - Someday (From &quot;ZOMBIES&quot;)",DisneyMusicVEVO,,2018-02-17T02:45:00Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
1wRW8eh6hGI,,DCappella - Disney Medley (Official Video),DisneyMusicVEVO,,2018-04-29T04:00:00Z,,,,,,,,,,"DCappella's first ever North American tour is set to launch January 22nd, 2019 at the Florida Theatre in Jacksonville, FL. The multi-city trek is set to hit 40-US ..."
b0T6N6sevm4,,Monster (From &quot;Frozen: The Broadway Musical&quot;),DisneyMusicVEVO,,2018-02-23T05:17:55Z,,,,,,,,,,"Enjoy this first listen to ""Monster""– a new song written for FROZEN on Broadway. Performed by Caissie Levy and the Broadway Company Get tickets at ..."
B9r6jrh00CU,,Cast - ZOMBIES - BAMM - Zombie Block Party (From &quot;ZOMBIES&quot;),DisneyMusicVEVO,,2018-02-17T02:45:00Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
yg8116aeD7E,,"Anthony Gonzalez, Gael García Bernal - Un Poco Loco (From &quot;Coco&quot;)",DisneyMusicVEVO,,2017-12-21T18:00:06Z,,,,,,,,,,"Stream Disney•Pixar Coco on Disney+. Disney+ is the only place to stream your favorites from Disney, Pixar, Marvel, Star Wars, National Geographic and ..."
nWP7GEH3OCE,,Cast - ZOMBIES - Fired Up - Competition (From &quot;ZOMBIES&quot;),DisneyMusicVEVO,,2018-02-17T02:45:00Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
ecvKEhiDi1c,,"Meg Donnelly, Trevor Tordjman - Stand (From &quot;ZOMBIES&quot;)",DisneyMusicVEVO,,2018-02-17T17:00:03Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
PmWORPV7fKk,,"Milo Manheim, Meg Donnelly, Kylee Russell - BAMM (from ZOMBIES) (Official Video)",DisneyMusicVEVO,,2018-02-17T02:45:00Z,,,,,,,,,,Watch the new Disney Channel Original Movie ZOMBIES on Disney Channel and DisneyNOW. Follow ZOMBIES on Instagram: ...
d9h_qtOoFnA,,Leona Lewis &amp; Dinah Jane - Christmas Medley,leonalewis,,2017-12-07T15:29:52Z,,,,,,,,,,A beautiful holiday medley brought to you by Leona Lewis and Dinah Jane from Fifth Harmony.
fUD2leAzn2o,,The RapCaviar Pantheon,Spotify,,2017-12-08T18:06:49Z,,,,,,,,,,"RapCaviar has created a real-world pantheon; making larger-than life sculptures of the 3 biggest breakthrough artists of 2017: SZA, Metro Boomin and 21 ..."
sU9ttYXBH5g,,21 Savage &amp; Keith Sweat | Love &amp; Relationship Hotline | RapCaviar,Spotify,,2017-11-17T15:25:01Z,,,,,,,,,,21 Savage & Keith Sweat sit down to answer some love & relationship questions. Give the hotline a call: 1-833-21-SWEAT.
tDGP8wtHfJw,,Spotify đã có mặt tại Việt Nam!,Spotify,,2018-03-14T04:25:58Z,,,,,,,,,,Hãy xem nghệ sĩ từ khắp mọi nơi gửi lời chào tới dịch vụ stream nhạc lớn nhất thế giới. Hãy để âm nhạc vang lên! #SpotifyVietnam.
DhjFCy5MIdU,,"Amy Schumer Presents: 3 Girls, 1 Keith",Spotify,,2018-06-13T18:49:34Z,,,,,,,,,,The podcast you can't unhear. Be sure to tune in to Amy Schumer's new original podcast on Spotify on June 21st.
C9lA0b_Ufhg,,Spotify Vietnam,Spotify,,2018-03-14T04:29:26Z,,,,,,,,,,"Trải nghiệm nghe nhạc trực tuyến có 1-0-2 với trên 35 triệu ca khúc để bạn khám phá. Chỉ một cú click! Mình thích thì mình, stream thôi. Nay đã có mặt tại Việt ..."
wtAV4lQc_zw,,Best TV Bloopers Fails,CrazyLaughAction,,2018-04-24T23:37:18Z,,,,,,,,,,"Some of the best tv bloopers fails that will make you laugh. Subscribe: youtube.com/user/CrazyLaughAction The content on this YouTube Channel, 'Crazy ..."
