,0,1
0,"['Angry', 'Happy', 'Neutral']",VXa16Zl81vE
1,['Angry'],UYDAgS2Mr6M
2,['Happy'],JE03bUlN0rM
3,[],T8lWjQRhQXY
4,[],PxJrWCSJfBk
5,['Angry'],3wnHiK5sKgA
6,[],jY3lRSmdLQg
7,['Sad'],VaGcPRMY5UM
8,['Neutral'],6zRtrLBg3vk
9,"['Neutral', 'Neutral']",Ml9v3wHLuWI
10,['Neutral'],zVc-K1kKkVk
11,['Sad'],_JbpTEtGTz8
12,[],CPy0-J6pxKI
13,['Sad'],ZcCp7488puc
14,[],Tp_hNsBjXQA
15,"['Happy', 'Sad', 'Happy']",hWLjYJ4BzvI
16,"['Neutral', 'Happy']",bNcj9iR956M
17,['Happy'],tQR5G3kvfNQ
18,"['Angry', 'Sad']",i3cN9elJWvk
19,"['Angry', 'Happy']",UuGl1BVCr1Q
20,['Neutral'],mPg__kEZ6YM
21,[],RbmtNSxxkzU
22,"['Sad', 'Sad']",7SxLRFuEuLE
23,['Sad'],DKPCBAlDw2A
24,[],sxvC647Yi0A
25,[],Q1JiptOTxno
26,"['Neutral', 'Sad']",tkhbOc-jZ6c
27,['Fear'],z4dH6hEMuwk
28,"['Sad', 'Fear']",Eonq7PRPIqY
29,['Fear'],gUWDiXBNohY
30,['Sad'],l3uG4T8pJfw
31,[],I2sRc3j7IU0
32,"['Happy', 'Angry']",O02MnrL_wrc
33,[],ycy30LIbq4w
34,[],PVbQrvlB_gw
35,"['Angry', 'Angry']",GBTV5ekQwWw
36,['Neutral'],bU-vnDmxd1Q
37,[],zUofr5WcdSM
38,['Fear'],rG7fLWcvv-4
39,['Happy'],CmO2143BzYA
40,"['Happy', 'Happy', 'Happy']",oU651Rj9QP4
41,['Neutral'],36PDeN9NRZ0
42,[],Ihci78IBvzY
43,['Neutral'],NHEaYbDWyQE
44,['Sad'],YHdOh90kGHQ
45,"['Neutral', 'Neutral', 'Fear']",sWk4b3RO4EA
46,['Angry'],xbRLc8kzNr4
47,['Neutral'],guRbfQFddfg
48,"['Sad', 'Angry', 'Fear']",gd0bB-5X4o0
49,['Happy'],H4Hb6HcCm_E
50,[],bI31WqFDxNs
51,"['Neutral', 'Angry']",ElPJr_tKkO4
52,['Happy'],_7z85ipjSwA
53,"['Happy', 'Fear']",fkBYn3QkgpA
54,['Happy'],RF-Mqs2qC-M
55,[],6_DgXvcfhYg
56,['Fear'],70pJZ9w3oGk
57,[],6uGQ_ypTw08
58,['Angry'],yN0O8UaTnRA
59,[],BNzc6hG3yN4
60,['Happy'],PkRo5l8679g
61,['Neutral'],7SAisWFutbw
62,['Sad'],kX0vO4vlJuU
63,['Angry'],w3Rd-KZeVp4
64,['Angry'],J75enyWdbBM
65,['Angry'],1hTLGlgZ4Z8
66,[],RumNBu_KJjk
67,"['Fear', 'Fear', 'Sad', 'Happy', 'Neutral']",d1D1SJ-KqaQ
68,[],es9-P1SOeHU
69,"['Happy', 'Sad']",gxz-OhTuo1M
70,['Angry'],r-d5HI-zC3I
71,[],4DQ-2tDzJxw
72,[],U9BwWKXjVaI
73,['Sad'],za0qXbofvc0
74,"['Sad', 'Angry']",wa5eXqjEewE
75,[],E-8e0cqUGTw
76,"['Angry', 'Neutral']",ZzZ-BsiSamk
77,['Neutral'],ZEkImgh--PE
78,['Happy'],4oYYVrEFWE8
79,"['Happy', 'Happy', 'Happy']",HfIgfy0HJHU
80,[],VM-g_bkFdzo
81,"['Happy', 'Sad']",7snvaAmSHo8
82,['Neutral'],J3vav5Sfhrw
83,[],i5qOzqD9Rms
84,[],BidS_rcf7UU
85,"['Sad', 'Sad']",M4ZoCHID9GI
86,[],JwAnH6PLimo
87,"['Sad', 'Neutral']",J-dv_DcDD_A
88,['Angry'],eVmxh5Uft0Y
89,['Happy'],R1TSiB9OuVM
90,['Sad'],aCAhbjLKkt4
91,"['Neutral', 'Sad']",O5ROSS9ReUY
92,['Happy'],yRTRm9RrVaM
