,0,1
0,"[['person', 0.7378620505332947], ['person', 0.4588809311389923], ['person', 0.04690811038017273], ['person', 0.03862924128770828], ['clock', 0.014336694031953812], ['person', 0.013893143273890018], ['remote', 0.010245961137115955]]",uwbd0-gaoY8
1,"[['person', 0.16970022022724152], ['skateboard', 0.062433257699012756], ['person', 0.023468758910894394], ['truck', 0.021291416138410568], ['skateboard', 0.018175514414906502], ['tv', 0.013780278153717518]]",SzAuB2FG79A
2,"[['person', 0.9072921872138977], ['train', 0.47753503918647766], ['tv', 0.17050838470458984], ['book', 0.09416424483060837], ['tv', 0.09255920350551605], ['laptop', 0.059085529297590256], ['book', 0.04944999888539314], ['tv', 0.042122732847929], ['tie', 0.032289594411849976], ['laptop', 0.016123509034514427], ['person', 0.01286013238132]]",MLywBJCOK6Q
3,"[['person', 0.7225385904312134], ['keyboard', 0.5975331664085388], ['potted plant', 0.06791718304157257], ['chair', 0.03345516324043274], ['tv', 0.020647546276450157], ['tv', 0.01570296846330166], ['car', 0.0101639274507761]]",YuAA5DEXbG4
4,"[['person', 0.7081395387649536], ['tie', 0.5310493111610413], ['tie', 0.01064001489430666], ['sports ball', 0.010193154215812683]]",nt7b-Qp34hk
5,"[['person', 0.47934553027153015], ['person', 0.10049774497747421], ['cup', 0.09425704926252365], ['toothbrush', 0.0777268186211586], ['chair', 0.06837017089128494], ['toothbrush', 0.06801839172840118], ['potted plant', 0.04954976215958595], ['vase', 0.03862900659441948], ['potted plant', 0.034157536923885345], ['cell phone', 0.015470913611352444], ['tv', 0.012904006987810135], ['car', 0.012882730923593044], ['chair', 0.012508610263466835], ['couch', 0.012050195597112179], ['toothbrush', 0.01167278178036213], ['vase', 0.011402271687984467], ['toothbrush', 0.011223346926271915]]",bNF9VJgfPS4
6,"[['person', 0.9269704222679138], ['person', 0.8764930367469788], ['person', 0.5540575385093689], ['bus', 0.23355716466903687], ['clock', 0.06680244952440262], ['clock', 0.016043365001678467], ['truck', 0.015397121198475361]]",7FM_MfpYOLU
7,"[['person', 0.6714531779289246], ['person', 0.5274208188056946], ['person', 0.37860167026519775], ['person', 0.34948962926864624], ['person', 0.21532569825649261], ['person', 0.15457972884178162], ['tv', 0.15435098111629486], ['person', 0.14077477157115936], ['person', 0.0867171660065651], ['person', 0.07177790254354477], ['refrigerator', 0.033356815576553345], ['person', 0.02780633419752121], ['laptop', 0.025006454437971115], ['person', 0.023016974329948425], ['book', 0.02261749468743801], ['person', 0.01930512674152851], ['person', 0.019302135333418846], ['person', 0.018932782113552094], ['person', 0.01653844304382801], ['person', 0.01649366319179535], ['person', 0.015788614749908447], ['person', 0.015294131822884083], ['person', 0.015005932189524174], ['person', 0.014638579450547695], ['bus', 0.013012219220399857], ['stop sign', 0.012792686000466347], ['person', 0.012754696421325207], ['person', 0.011738377623260021], ['skateboard', 0.011473612859845161]]",d7gOtEwaJzw
8,"[['person', 0.7882006764411926], ['car', 0.6410863399505615], ['person', 0.11863426864147186], ['truck', 0.025827044621109962], ['car', 0.021287964656949043], ['car', 0.01676144078373909]]",X_vVMmvjEts
9,"[['person', 0.9096865653991699], ['cup', 0.05243268609046936]]",VwAnsAUYnw4
10,"[['tv', 0.3982457220554352], ['bus', 0.13649903237819672], ['laptop', 0.059307802468538284], ['person', 0.03620028868317604], ['train', 0.028513062745332718], ['umbrella', 0.017987199127674103], ['truck', 0.011852606199681759], ['tv', 0.01101202517747879], ['refrigerator', 0.010023210197687149]]",mXiFHDfvn4A
11,"[['person', 0.4838826656341553], ['person', 0.17728596925735474], ['person', 0.17183002829551697], ['dog', 0.04574122279882431], ['cell phone', 0.033404216170310974], ['cell phone', 0.026764845475554466], ['train', 0.010941442102193832]]",D_eZxSYRhco
12,"[['person', 0.2715599238872528], ['traffic light', 0.04990369454026222], ['chair', 0.04558205604553223], ['mouse', 0.04305277019739151], ['person', 0.012470562942326069], ['person', 0.01229115854948759], ['umbrella', 0.01227251160889864], ['person', 0.012200651690363884], ['stop sign', 0.012090116739273071]]",wIimU5-UEPc
13,"[['person', 0.6729353070259094], ['person', 0.17961597442626953], ['clock', 0.07513847202062607], ['person', 0.051508549600839615], ['person', 0.04570883512496948], ['cell phone', 0.02314821071922779], ['cell phone', 0.020676739513874054], ['person', 0.019744277000427246], ['person', 0.018835803493857384], ['remote', 0.01683543436229229], ['cell phone', 0.011220777407288551], ['person', 0.011004033498466015], ['boat', 0.0101519376039505]]",kLpH1nSLJSs
14,"[['person', 0.9909863471984863], ['person', 0.7202103734016418], ['person', 0.5698668956756592], ['person', 0.07046416401863098], ['clock', 0.028135575354099274], ['person', 0.028120873495936394], ['tv', 0.023773014545440674], ['clock', 0.019517308101058006], ['cell phone', 0.018347082659602165], ['remote', 0.012402822263538837], ['remote', 0.010279358364641666]]",HtNWc1AIU20
15,"[['person', 0.9766344428062439], ['person', 0.9725363850593567], ['potted plant', 0.5071877241134644], ['bowl', 0.18688039481639862], ['refrigerator', 0.15350402891635895], ['sandwich', 0.10929868370294571], ['sandwich', 0.0834924653172493], ['sandwich', 0.05712081491947174], ['cake', 0.04489928111433983], ['bowl', 0.04445309564471245], ['knife', 0.02902858518064022], ['sandwich', 0.028816696256399155], ['microwave', 0.02508394606411457], ['refrigerator', 0.02450021170079708], ['bottle', 0.01831127516925335], ['cake', 0.018251918256282806], ['cake', 0.016435392200946808], ['bowl', 0.015902791172266006], ['cake', 0.015545903705060482], ['sandwich', 0.015327205881476402], ['teddy bear', 0.01444101519882679], ['potted plant', 0.014420025050640106], ['dining table', 0.014241218566894531], ['cake', 0.014180557802319527], ['dining table', 0.01245813723653555], ['vase', 0.01238162349909544], ['vase', 0.010797947645187378]]",_hMQe2U4c6w
16,"[['person', 0.5603757500648499], ['chair', 0.07026439905166626]]",w9JQf4Lw46g
17,"[['tie', 0.8569117188453674], ['person', 0.6472030282020569], ['tie', 0.37409016489982605], ['tv', 0.1494719535112381], ['clock', 0.011815283447504044]]",UDIkXCDdLTo
18,"[['person', 0.6389614343643188]]",Uv1xscwDtIQ
19,"[['zebra', 0.8663145303726196], ['umbrella', 0.15118762850761414], ['bed', 0.015460778027772903], ['potted plant', 0.012734288349747658]]",08qd-vsHbaY
20,"[['person', 0.9566190242767334], ['person', 0.9467079639434814], ['car', 0.5747626423835754], ['person', 0.5651195049285889], ['car', 0.11189072579145432], ['person', 0.1019582450389862], ['backpack', 0.07198836654424667], ['car', 0.06921517848968506], ['truck', 0.06460628658533096], ['handbag', 0.06062892824411392], ['backpack', 0.05608007311820984], ['person', 0.05141714587807655], ['car', 0.04811668395996094], ['person', 0.04235756769776344], ['dog', 0.025096982717514038], ['person', 0.023205013945698738], ['car', 0.01772911287844181], ['dog', 0.016271034255623817], ['car', 0.01565178669989109], ['backpack', 0.014165276661515236], ['person', 0.01274183951318264], ['car', 0.01150367222726345], ['truck', 0.011401216499507427], ['person', 0.010891731828451157], ['person', 0.010447552427649498]]",Mjl4OReUX-c
21,"[['person', 0.8980921506881714], ['person', 0.8212674856185913], ['person', 0.7774718403816223], ['tv', 0.03637031838297844], ['bird', 0.01698124408721924], ['laptop', 0.011363830417394638], ['handbag', 0.011015883646905422], ['cat', 0.010529589839279652]]",A_xWDAbnBSU
22,"[['person', 0.34298768639564514], ['person', 0.10511697828769684], ['person', 0.050108443945646286], ['chair', 0.014847151935100555]]",XUqRem0W8L8
23,"[['person', 0.7960349917411804], ['person', 0.6463162899017334], ['person', 0.46791312098503113], ['person', 0.43444445729255676], ['person', 0.40412285923957825], ['person', 0.13919849693775177], ['person', 0.1260451227426529], ['person', 0.06620822101831436], ['person', 0.05593430995941162], ['person', 0.02632257714867592], ['person', 0.024342382326722145], ['person', 0.022463498637080193], ['person', 0.022302299737930298], ['person', 0.019748175516724586], ['cup', 0.014797261916100979], ['cell phone', 0.01378788985311985], ['person', 0.013031837530434132], ['person', 0.012592238374054432], ['person', 0.012036592699587345], ['person', 0.011203238740563393], ['person', 0.011122597381472588]]",jzD_yyEcp0M
24,"[['person', 0.49895086884498596], ['car', 0.11651110649108887], ['person', 0.07688330858945847], ['person', 0.06212577223777771], ['person', 0.031675420701503754], ['car', 0.02540246956050396], ['person', 0.019652340561151505], ['person', 0.015559624880552292], ['truck', 0.013040192425251007]]",xYtsL9znopI
25,"[['tie', 0.9744060039520264], ['person', 0.9650264382362366]]",Z0vLiQLpsc8
26,"[['person', 0.9467388987541199], ['person', 0.9108321666717529], ['cup', 0.19169524312019348], ['vase', 0.08877427875995636], ['baseball glove', 0.08572928607463837], ['kite', 0.04662120342254639], ['person', 0.04508913308382034], ['baseball glove', 0.043058134615421295], ['bowl', 0.028914768248796463], ['tennis racket', 0.02734881453216076], ['kite', 0.02536650560796261], ['fire hydrant', 0.021950634196400642], ['baseball glove', 0.01851426251232624], ['baseball bat', 0.014629518613219261], ['sports ball', 0.014190036803483963], ['baseball glove', 0.0131809888407588], ['sports ball', 0.011773351579904556], ['dining table', 0.01169370673596859], ['potted plant', 0.011640531942248344]]",A9k89DYdHKQ
27,"[['person', 0.9634862542152405], ['potted plant', 0.015187161043286324]]",xLtYmhj-0Kg
28,"[['person', 0.9444864988327026], ['person', 0.7832465767860413], ['tv', 0.3156130611896515], ['person', 0.3024444878101349], ['tv', 0.14652805030345917], ['tv', 0.09586411714553833], ['handbag', 0.041872892528772354], ['remote', 0.04041093587875366], ['person', 0.027863627299666405], ['chair', 0.026161665096879005], ['backpack', 0.026010796427726746], ['laptop', 0.01967182755470276], ['chair', 0.019650690257549286], ['tv', 0.01905404031276703], ['chair', 0.015726834535598755], ['skis', 0.015675116330385208], ['tv', 0.015607264824211597], ['tv', 0.013276913203299046], ['backpack', 0.012846244499087334], ['remote', 0.010611394420266151]]",7RZzxbZ6WWY
29,"[['person', 0.4182901680469513], ['bottle', 0.09031257778406143], ['hot dog', 0.022431252524256706], ['cell phone', 0.018726887181401253], ['bottle', 0.013076468370854855], ['hot dog', 0.012538987211883068], ['hot dog', 0.01182228047400713]]",4eOq4xzaPsA
30,"[['person', 0.17221380770206451], ['baseball bat', 0.021209802478551865], ['tennis racket', 0.01791544258594513]]",m4-sL1r9i1I
31,"[['person', 0.6177783012390137], ['umbrella', 0.010220925323665142]]",_0ovuLsnU1A
32,"[['person', 0.3491273820400238], ['person', 0.059620101004838943], ['person', 0.05852428078651428], ['person', 0.018162066116929054], ['cake', 0.014428818598389626], ['bed', 0.012968393042683601], ['person', 0.011187485419213772]]",AOvCyD9bbDM
33,"[['person', 0.7869895100593567], ['couch', 0.10710617154836655], ['person', 0.046489544212818146], ['person', 0.0313597247004509], ['remote', 0.025374867022037506], ['bed', 0.021181896328926086], ['person', 0.018475379794836044], ['remote', 0.016321277245879173], ['couch', 0.015215421095490456], ['tv', 0.013366098515689373], ['couch', 0.011356266215443611]]",HMKoFuOzkxc
