,0,1
0,[],wtTmLBfIiG4
1,['Neutral'],kZ3xRQOhpQI
2,['Happy'],kz1xzBYppW8
3,['Sad'],31Fbv9qRV7s
4,"['Angry', 'Neutral']",Gjs1QSa9fpI
5,[],NvG1FTafzAw
6,['Neutral'],hphLiGW6FgE
7,['Neutral'],sMEmj80EJy8
8,[],32YGGYaUTgE
9,"['Neutral', 'Neutral']",8J2q99ApzGs
10,['Neutral'],1UPJ_Uk9s5c
11,"['Angry', 'Angry']",VWFoCcbXqAw
12,['Sad'],ZeGNvhAsUW8
13,"['Angry', 'Neutral', 'Fear', 'Neutral', 'Sad', 'Angry']",UPPkvPe5WJ8
14,"['Neutral', 'Happy']",dkD1l8iKedE
15,"['Happy', 'Fear']",RBpLVXNN6i0
16,"['Happy', 'Fear', 'Sad', 'Sad']",lJkXbzQPIkM
17,[],hMBxriQamIU
18,['Sad'],1iUgR_lKn1c
19,['Sad'],w1zwGLBpULs
20,['Fear'],1emNguW5xAA
21,[],PRHVfIbeGpQ
22,[],Z7GkGeZrb2Y
23,['Angry'],fEqzx-36pOo
24,"['Angry', 'Angry', 'Neutral']",EtfIzNdt9Ac
25,[],8d_202l55LU
26,['Angry'],hu_4yAZVNsU
27,['Happy'],xLkHEZTSeoU
28,['Fear'],Oapebl0bADA
29,['Sad'],6xe64i_4GhM
30,"['Happy', 'Sad']",wzKL-bQKcgA
31,['Happy'],lV3eV9w0h0U
32,"['Happy', 'Fear']",h_67XloYXTc
33,['Sad'],ZLgE9FBOtTY
34,['Fear'],0EbFotkXOiA
35,"['Happy', 'Sad', 'Angry']",0b6l7MIaGdA
36,['Angry'],MvIwx0JThsk
37,['Happy'],oD9XpUKD7y4
38,[],DbF91ZtpGGc
39,[],NVe6fC4Af-w
40,['Happy'],BHuH-vySEMA
41,[],ChF_ypmiIs8
42,"['Sad', 'Happy']",dRvKm__GrqU
43,"['Sad', 'Happy']",NsUQU3r2nsM
44,['Happy'],sD_31GJmhUc
45,[],6ZJghIk7_VA
46,['Neutral'],arv7U6cfD40
47,"['Sad', 'Happy', 'Happy', 'Happy']",jehMXPadHS0
48,"['Neutral', 'Happy']",TOdGYZ20oSc
49,"['Happy', 'Happy']",Y0D0s9eIKuw
50,['Angry'],adz_lnvL0qI
51,"['Sad', 'Neutral', 'Angry']",bAHAwesTLB4
52,['Neutral'],YfOHh5mt9SM
53,['Neutral'],hXz4LdA-BRI
54,"['Happy', 'Happy']",_CZHqpIpN4k
55,[],FY8T06A-j_c
56,[],DIM6F38ITsY
57,['Happy'],IMzf3C34NNM
58,['Happy'],OkvNxYMyips
59,['Happy'],POcPgCMwYGE
60,"['Fear', 'Happy']",ui05f6CoIxA
61,[],Alt2HGrsfnw
62,"['Sad', 'Neutral']",ZOBvRs4btvE
63,[],0bSE-rh7jFg
64,['Angry'],lw_KFCgcvA4
65,"['Neutral', 'Happy', 'Happy']",RQREeUE9eGI
66,[],3fArI2PZBUo
67,"['Sad', 'Neutral', 'Sad']",9FVkXIj-wLQ
68,"['Neutral', 'Sad']",1PhdQdJjDZc
69,"['Angry', 'Happy']",7l2NnC0MNt4
70,"['Angry', 'Sad', 'Happy']",So_guHTJ4Ng
71,['Happy'],GpekGi00XCE
72,"['Sad', 'Happy']",B7B6x2bHcUs
73,[],DrY4EUirqgE
74,"['Angry', 'Sad', 'Fear', 'Sad', 'Sad']",eiDiKwbGfIY
75,[],OPHbqY9LHCs
76,"['Neutral', 'Angry']",noUH5aYUBx4
77,"['Happy', 'Angry', 'Happy', 'Happy', 'Happy']",TZSVf-yD7N8
78,[],K-yazBBF3gE
79,['Happy'],Wpr2WvQn-kg
80,"['Happy', 'Happy']",T7H7uH2t854
81,"['Happy', 'Neutral', 'Neutral']",p2P5jrcNwY4
82,['Happy'],9mwM1VB9qs0
83,['Happy'],GIRJck1pVRA
84,[],D7sj7L1uLiw
85,['Angry'],prmQgSpV3fA
86,['Happy'],QRis1pHOhj4
87,"['Happy', 'Angry', 'Happy']",t0N7Vv7bafU
88,[],oxd0unpN_Hw
89,['Happy'],ZWGh7si0Y50
90,"['Angry', 'Sad']",CHXD9k19q1Y
91,['Happy'],ZTwOsL-pVzU
92,['Happy'],JVHFMBfG-cM
93,"['Surprise', 'Happy']",dR10LRByhRc
94,"['Happy', 'Happy']",oiAe-vck-sc
95,['Angry'],AenmqoozqoA
96,"['Neutral', 'Sad']",TDqjoaURNOQ
97,['Sad'],hiGqKwy4yM0
98,[],QDHcA33yT0I
99,"['Neutral', 'Sad', 'Happy']",QzQpsHScgHs
100,"['Happy', 'Fear']",6kLYXbNZWRs
101,"['Happy', 'Sad', 'Angry', 'Sad', 'Angry', 'Sad']",bw_ob5GFi6I
102,['Happy'],IjFxx9SrOTU
103,"['Sad', 'Sad']",37z3bfXu3BA
104,['Neutral'],eZFvbili87g
105,[],HJqALBKE4r4
106,[],Id2hMkmcIMA
107,[],P4VipvC54W4
108,"['Neutral', 'Neutral', 'Neutral']",-W6v2_0evUU
109,['Sad'],sVfTvLm-7Ac
110,[],dI5IxmA19jw
111,"['Angry', 'Angry']",OdJh_Q5XY4U
112,['Angry'],iCXQwI2Luw8
113,['Angry'],F4Q3kWZ369A
114,"['Fear', 'Neutral']",MYmQlBpF5e0
115,[],JuUi12XbalE
116,['Angry'],SqyPQ5eAgCY
117,['Neutral'],OmM425PFd3Y
118,[],2vQ_fnlvvr8
119,"['Happy', 'Happy']",b9lb2x_OHOk
120,"['Angry', 'Sad']",Dc6ZDo9ViNA
121,['Angry'],EajOkkJ80uc
122,['Happy'],gG_XI2jXMKs
123,"['Happy', 'Neutral']",2fJIRQJ39eA
124,['Sad'],h_-JFUci0BM
125,"['Angry', 'Neutral', 'Angry', 'Neutral', 'Angry', 'Sad', 'Sad', 'Neutral']",fZYtg2BTWBI
126,['Sad'],_odvYvbW9VM
127,"['Happy', 'Sad', 'Angry']",PitE6FVIjgs
128,"['Happy', 'Neutral']",qVYwqepVCY0
129,[],BR7AnZ3S8u8
130,['Neutral'],X9QiHlEC22U
131,"['Sad', 'Sad']",dmtTnGlTUI0
132,['Happy'],cZxOvNxbi7U
133,[],DWG2mSSBi8U
134,[],IbmvDn6I6sI
135,[],eQTcXGk9BRk
136,[],KKwmGuQaMfo
137,[],IR8k4uYnTfI
