,0,1
0,"[['person', 0.8221814036369324], ['potted plant', 0.8082788586616516], ['person', 0.8062549233436584], ['cup', 0.7128807306289673], ['person', 0.7078149914741516], ['couch', 0.563954770565033], ['dining table', 0.429599791765213], ['chair', 0.3253103196620941], ['vase', 0.2265348881483078], ['potted plant', 0.2230282425880432], ['remote', 0.148570716381073], ['cup', 0.13558270037174225], ['sink', 0.1185876801609993], ['cup', 0.11298505961894989], ['remote', 0.10804241895675659], ['vase', 0.06106255203485489], ['potted plant', 0.056708771735429764], ['chair', 0.05599215254187584], ['potted plant', 0.05348815768957138], ['bottle', 0.048693250864744186], ['potted plant', 0.04015597701072693], ['vase', 0.039231278002262115], ['apple', 0.035498928278684616], ['chair', 0.033710308372974396], ['couch', 0.029684605076909065], ['potted plant', 0.02859918400645256], ['potted plant', 0.026977721601724625], ['vase', 0.0269363671541214], ['tie', 0.026929954066872597], ['chair', 0.026734450832009315], ['potted plant', 0.022685732692480087], ['bowl', 0.022029297426342964], ['bottle', 0.021020470187067986], ['person', 0.020406942814588547], ['vase', 0.018311521038413048], ['potted plant', 0.016747713088989258], ['bottle', 0.01662149466574192], ['bottle', 0.016417887061834335], ['potted plant', 0.015431602485477924], ['cell phone', 0.015346968546509743], ['remote', 0.01484583504498005], ['couch', 0.014390898868441582], ['person', 0.013890420086681843], ['bottle', 0.013889244757592678], ['potted plant', 0.013786090537905693], ['vase', 0.013159393332898617], ['orange', 0.012990224175155163], ['potted plant', 0.012754276394844055], ['bottle', 0.012674985453486443], ['vase', 0.012649361975491047], ['bowl', 0.012578477151691914], ['couch', 0.012112815864384174], ['spoon', 0.011805335059762001], ['cup', 0.011342688463628292], ['bottle', 0.010906417854130268], ['vase', 0.010546949692070484], ['vase', 0.01015609223395586]]",3SqtO2VXsPI
1,"[['person', 0.961853563785553], ['person', 0.8674948215484619], ['handbag', 0.043386317789554596], ['handbag', 0.03306787088513374], ['person', 0.02895512618124485], ['handbag', 0.02851295657455921], ['backpack', 0.016046060249209404], ['handbag', 0.015643291175365448], ['backpack', 0.010982172563672066], ['handbag', 0.010790201835334301], ['pizza', 0.010523700155317783]]",SKV6h_5XFbk
2,"[['person', 0.2172599732875824], ['person', 0.03951200470328331], ['bed', 0.011732997372746468]]",voG07pt-KYI
3,"[['person', 0.22690069675445557], ['bed', 0.19030514359474182], ['chair', 0.0718996524810791], ['couch', 0.05130894482135773], ['person', 0.025531180202960968], ['tv', 0.017929930239915848], ['dining table', 0.017514463514089584], ['tv', 0.016267139464616776], ['cup', 0.015086698345839977], ['person', 0.014283530414104462], ['person', 0.013691435568034649], ['couch', 0.010508236475288868], ['bottle', 0.0103999562561512], ['person', 0.010118575766682625]]",SQsPvrev_bQ
4,"[['person', 0.7038530111312866], ['handbag', 0.015746034681797028], ['person', 0.013934299349784851], ['cup', 0.0100645050406456]]",kATuE1S5qk0
5,"[['bottle', 0.6833325028419495], ['bowl', 0.2980300188064575], ['cake', 0.2890739440917969], ['dining table', 0.2044931948184967], ['dining table', 0.11075527220964432], ['bottle', 0.1080617755651474], ['bottle', 0.027454635128378868], ['vase', 0.020911721512675285], ['fire hydrant', 0.01656445488333702], ['person', 0.016027823090553284], ['donut', 0.015479273162782192], ['cup', 0.013526623137295246], ['cup', 0.013340361416339874], ['vase', 0.012321441434323788], ['bottle', 0.011308920569717884], ['bottle', 0.010786263272166252], ['toothbrush', 0.010348976589739323]]",XdNOI-q70q4
6,"[['person', 0.8159735202789307], ['cup', 0.1129487007856369], ['hot dog', 0.08118872344493866], ['orange', 0.06723189353942871], ['bowl', 0.06698864698410034], ['bottle', 0.03392390161752701], ['sandwich', 0.029965341091156006], ['cell phone', 0.025685729458928108], ['teddy bear', 0.02502625435590744], ['person', 0.01780327968299389], ['cake', 0.017515841871500015], ['bowl', 0.016106143593788147], ['handbag', 0.012816596776247025], ['pizza', 0.010544179938733578]]",3eY394uqk9Q
7,"[['person', 0.9165914058685303], ['chair', 0.8238732218742371], ['tv', 0.7928755283355713], ['cell phone', 0.48656946420669556], ['mouse', 0.1843201220035553], ['dining table', 0.18330399692058563], ['keyboard', 0.07723066210746765], ['remote', 0.0748869851231575], ['dining table', 0.03937783092260361], ['chair', 0.029598314315080643], ['mouse', 0.017084285616874695], ['mouse', 0.015886619687080383], ['keyboard', 0.015569725073873997]]",37R2_bvJjGM
8,"[['person', 0.2745680809020996], ['person', 0.04681282490491867], ['person', 0.04036104679107666], ['person', 0.026545559987425804], ['person', 0.01879926398396492], ['person', 0.01515706442296505], ['person', 0.010136566124856472]]",kuw3yQqhe8M
9,"[['dog', 0.21453647315502167], ['teddy bear', 0.12122375518083572], ['cat', 0.05632313713431358], ['bear', 0.01679573580622673], ['bird', 0.012591478414833546]]",vFQ8hsZsDkA
10,"[['person', 0.4620257019996643], ['umbrella', 0.4142671525478363], ['bicycle', 0.2956375479698181], ['person', 0.04142966866493225], ['person', 0.021938474848866463], ['clock', 0.02158418670296669], ['person', 0.021307462826371193], ['toothbrush', 0.012299716472625732], ['person', 0.010633151978254318]]",WBxwX1myxqc
11,"[['person', 0.9948078393936157], ['zebra', 0.874470591545105], ['person', 0.5771715044975281], ['zebra', 0.07535047829151154], ['zebra', 0.04638202488422394], ['cell phone', 0.015739738941192627], ['sports ball', 0.014219660311937332], ['person', 0.011372273787856102]]",mQ055hHdxbE
12,"[['person', 0.3058355450630188], ['backpack', 0.02976406365633011], ['backpack', 0.015004653483629227]]",Fj3euSYAtnc
13,"[['tv', 0.5119409561157227], ['clock', 0.08794509619474411], ['kite', 0.04543757066130638], ['cell phone', 0.0365656353533268], ['traffic light', 0.014996729791164398], ['bird', 0.010894174687564373]]",JNyZ49q4vrU
14,"[['person', 0.4217899441719055], ['fire hydrant', 0.10989934951066971], ['tie', 0.04962850362062454], ['chair', 0.045675601810216904], ['knife', 0.02206084504723549], ['dog', 0.010311187244951725], ['surfboard', 0.010239599272608757]]",6wGj89GE6aQ
15,"[['tie', 0.825622022151947], ['person', 0.622299075126648], ['person', 0.6114776134490967], ['tie', 0.6011808514595032], ['person', 0.2740069031715393], ['person', 0.09750903397798538], ['person', 0.011195889674127102]]",1HBvOZlvj_w
