video_id,word_id,ocr_text
0-VAnh7r-_8,0,destinyt2
0-VAnh7r-_8,1,forsaken
0-VAnh7r-_8,2,3if
0ANDjPQPS_Q,0,thank
0ANDjPQPS_Q,1,you
0ANDjPQPS_Q,2,ponelocks
0ANDjPQPS_Q,3,youlobe
0AUFyFEt35g,0,smtown
0AUFyFEt35g,1,official
0DpCDxoj_Xg,0,christmas
0DpCDxoj_Xg,1,carpool
0GQmGOju6CE,0,meet
0GQmGOju6CE,1,ghost
0GQmGOju6CE,2,my
0JcNT6jYGwI,0,worst
0JcNT6jYGwI,1,best
0JcNT6jYGwI,2,of
0JcNT6jYGwI,3,the
0JcNT6jYGwI,4,episode
0JcNT6jYGwI,5,65
0JcNT6jYGwI,6,houg
0JcNT6jYGwI,7,plinketto
0NS51Iph2Ms,0,fox
0NS51Iph2Ms,1,news
0NS51Iph2Ms,2,channel
0NWKUHl6JLY,0,nindies
0NWKUHl6JLY,1,2018
0NWKUHl6JLY,2,showcase
0NWKUHl6JLY,3,spring
0NWKUHl6JLY,4,switter
0NWKUHl6JLY,5,nintendo
0O2IAz1E9Ts,0,jai
0O2IAz1E9Ts,1,22
0O2IAz1E9Ts,2,a
0O2IAz1E9Ts,3,man
0O2IAz1E9Ts,4,was
0O2IAz1E9Ts,5,mikidaboun
0O2IAz1E9Ts,6,vanity
0O2IAz1E9Ts,7,fair
0PW9MWDWLH8,0,whisper
0PW9MWDWLH8,1,challenge
0PW9MWDWLH8,2,wl
0PW9MWDWLH8,3,my
0PW9MWDWLH8,4,mom
0RxhuBwCwMs,0,jimmy
0RxhuBwCwMs,1,ximinate
0RxhuBwCwMs,2,livei
0SLu6i6Rm2g,0,hollywood
0SLu6i6Rm2g,1,the
0SLu6i6Rm2g,2,beatdown
0URpDxIjZrQ,0,christopher
0URpDxIjZrQ,1,robin
0URpDxIjZrQ,2,official
0URpDxIjZrQ,3,trailer
0VQysq26ozE,0,ode
0VQysq26ozE,1,trailer
0VQysq26ozE,2,launch
0XR-FwfdOos,0,and
0XuOkYlUWIs,0,reasons
0XuOkYlUWIs,1,why
0XuOkYlUWIs,2,13
0XuOkYlUWIs,3,official
0XuOkYlUWIs,4,trailer
0Yp9WS6cJFA,0,downhill
0Yp9WS6cJFA,1,biking
0aan7Vtcco0,0,wrestle
0aan7Vtcco0,1,mania
0enOVnTDmqA,0,mutel
0enOVnTDmqA,1,y
0enOVnTDmqA,2,od
0enOVnTDmqA,3,the
0enOVnTDmqA,4,ateshow
0enOVnTDmqA,5,james
0enOVnTDmqA,6,corden
0fOZ4Nwm5Pg,0,lailahlynncon
0gLsukihjVg,0,guardlang
0gLsukihjVg,1,tar
0hcp-eMOn4E,0,crowd
0hcp-eMOn4E,1,a
0hcp-eMOn4E,2,in
0hcp-eMOn4E,3,of
0hcp-eMOn4E,4,thous
0hcp-eMOn4E,5,ands
0lXX3dJUAGY,0,are
0lXX3dJUAGY,1,intelligent
0lXX3dJUAGY,2,people
0lXX3dJUAGY,3,lonelyz
0lXX3dJUAGY,4,more
0ldBURP-cWo,0,ajaidheliab
0ldBURP-cWo,1,adaidhellar
0ldBURP-cWo,2,you
0ldBURP-cWo,3,poormation
0nybdPCuvRI,0,cavs
0nybdPCuvRI,1,70
0nybdPCuvRI,2,93
0nybdPCuvRI,3,heat
0nybdPCuvRI,4,cavaliers
0nybdPCuvRI,5,3rd
0nybdPCuvRI,6,of
0nybdPCuvRI,7,1159
0nybdPCuvRI,8,23
