video_id,word_id,ocr_text
_1mIPOYZzfo,0,mibrellast
_1mIPOYZzfo,1,diddy
_1mIPOYZzfo,2,interview
_1mIPOYZzfo,3,revolt
_1mIPOYZzfo,4,any
_2v5kMaGCNI,0,hollywood
_2v5kMaGCNI,1,the
_2v5kMaGCNI,2,beatdown
_4_V7ZGCYDE,0,the
_4_V7ZGCYDE,1,dodo
_4_V7ZGCYDE,2,fierce
_8VHAHoCUVY,0,awardi
_8VHAHoCUVY,1,unit
_8VHAHoCUVY,2,hulk
_8VHAHoCUVY,3,lost
_8VHAHoCUVY,4,posterse
_8VHAHoCUVY,5,giant
_8VHAHoCUVY,6,launchi
_8VHAHoCUVY,7,moira
_8VHAHoCUVY,8,zown
_9wK8hVvjAU,0,copa90
_9wK8hVvjAU,1,poet
_9wK8hVvjAU,2,8
_9wK8hVvjAU,3,vuj
_9wK8hVvjAU,4,fifa
_9wK8hVvjAU,5,chill
_9wK8hVvjAU,6,8
_9wK8hVvjAU,7,lampard
_9wK8hVvjAU,8,frank
_804kr2rMrQ,0,erminal
_804kr2rMrQ,1,buls
_804kr2rMrQ,2,20
_804kr2rMrQ,3,seventseasons
_804kr2rMrQ,4,official
_EvMYEfF_hQ,0,stranger
_EvMYEfF_hQ,1,thingsl
_EvMYEfF_hQ,2,does
_EvMYEfF_hQ,3,stranger
_EvMYEfF_hQ,4,things
_EvMYEfF_hQ,5,get
_EvMYEfF_hQ,6,less
_EvMYEfF_hQ,7,scary
_EvMYEfF_hQ,8,did
_EvMYEfF_hQ,9,things
_EvMYEfF_hQ,10,jennifer
_EvMYEfF_hQ,11,stranger
_EvMYEfF_hQ,12,cast
_EvMYEfF_hQ,13,lawerence
_EvMYEfF_hQ,14,things
_EvMYEfF_hQ,15,based
_EvMYEfF_hQ,16,is
_EvMYEfF_hQ,17,stranger
_EvMYEfF_hQ,18,on
_EvMYEfF_hQ,19,true
_EvMYEfF_hQ,20,story
_EvMYEfF_hQ,21,a
